time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,798,2,0,0
2.0,2,798,2,0,0
3.0,4,796,4,0,0
4.0,6,794,6,0,0
5.0,7,793,7,0,0
6.0,7,793,7,0,0
7.0,9,791,9,0,0
8.0,11,789,11,0,0
9.0,14,786,14,0,0
10.0,15,784,15,0,0
11.0,17,781,17,2,0
12.0,23,775,23,3,0
13.0,22,774,22,3,0
14.0,25,769,25,5,0
15.0,29,764,29,5,0
16.0,33,760,33,5,0
17.0,37,754,37,6,0
18.0,43,746,43,8,0
19.0,48,738,48,8,0
20.0,51,733,51,8,0
21.0,59,724,59,8,0
22.0,63,715,63,8,0
23.0,75,702,75,8,0
24.0,89,685,89,10,0
25.0,99,668,99,10,2
26.0,109,653,109,11,3
27.0,118,639,118,12,3
28.0,124,625,124,11,5
29.0,128,613,128,14,5
30.0,139,597,139,16,5
31.0,147,579,147,15,6
32.0,162,553,162,16,8
33.0,171,531,171,16,8
34.0,183,504,183,17,8
35.0,197,475,197,20,8
36.0,205,454,205,20,8
37.0,207,439,207,22,8
38.0,210,421,210,20,10
39.0,217,403,217,22,12
40.0,219,385,219,23,14
41.0,223,362,223,23,15
42.0,219,342,219,24,16
43.0,210,326,210,22,19
44.0,197,311,197,21,21
45.0,180,302,180,21,21
46.0,168,290,168,21,24
47.0,172,273,172,23,24
48.0,165,261,165,23,25
49.0,159,250,159,20,28
50.0,150,244,150,21,28
51.0,133,237,133,19,30
52.0,119,233,119,19,30
53.0,106,227,106,15,34
54.0,97,219,97,13,37
55.0,91,215,91,12,38
56.0,84,211,84,11,40
57.0,70,209,70,10,41
58.0,59,208,59,9,42
59.0,52,204,52,9,42
60.0,46,202,46,6,45
61.0,38,201,38,4,47
62.0,34,200,34,3,48
63.0,28,200,28,3,48
64.0,22,198,22,2,49
65.0,19,197,19,3,49
66.0,17,196,17,4,49
67.0,18,193,18,4,49
68.0,18,191,18,3,50
69.0,14,191,14,3,50
70.0,11,191,11,2,51
71.0,10,191,10,2,51
72.0,9,191,9,2,51
73.0,11,189,11,2,51
74.0,10,188,10,2,51
75.0,11,187,11,2,51
76.0,11,187,11,2,51
77.0,8,187,8,2,51
78.0,6,187,6,2,51
79.0,5,187,5,1,52
80.0,4,187,4,0,53
81.0,4,187,4,0,53
82.0,5,187,5,0,53
83.0,3,187,3,0,53
84.0,2,187,2,0,53
85.0,1,187,1,0,53
86.0,1,187,1,0,53
87.0,1,187,1,0,53
88.0,1,187,1,0,53
89.0,1,187,1,0,53
90.0,1,187,1,0,53
91.0,1,187,1,0,53
92.0,0,187,0,0,53
93.0,0,187,0,0,53
94.0,0,187,0,0,53
95.0,0,187,0,0,53
96.0,0,187,0,0,53
97.0,0,187,0,0,53
98.0,0,187,0,0,53
99.0,0,187,0,0,53
100.0,0,187,0,0,53
