time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,799,1,0,0
2,1,799,1,0,0
3,1,799,1,0,0
4,1,799,1,0,0
5,1,799,1,0,0
6.0,3,797,3,0,0
7.0,3,797,3,0,0
8.0,3,797,3,0,0
9.0,4,796,4,0,0
10.0,3,796,3,0,0
11.0,4,795,4,0,0
12.0,5,794,5,0,0
13.0,6,793,6,0,0
14.0,6,793,6,0,0
15.0,11,788,11,0,0
16.0,13,784,13,0,0
17.0,15,782,15,0,0
18.0,17,780,17,0,0
19.0,20,776,20,0,0
20.0,25,771,25,0,0
21.0,27,768,27,1,0
22.0,27,767,27,1,0
23.0,28,765,28,1,0
24.0,33,760,33,1,0
25.0,32,756,32,3,0
26.0,29,755,29,3,0
27.0,33,749,33,4,0
28.0,39,741,39,5,0
29.0,41,735,41,6,0
30.0,46,725,46,7,0
31.0,55,714,55,7,0
32.0,63,705,63,8,0
33.0,71,695,71,9,0
34.0,78,683,78,9,0
35.0,89,669,89,8,1
36.0,114,643,114,9,1
37.0,122,630,122,11,1
38.0,131,614,131,14,1
39.0,151,587,151,15,3
40.0,166,563,166,16,3
41.0,175,542,175,19,4
42.0,187,521,187,20,5
43.0,194,504,194,22,6
44.0,201,484,201,23,7
45.0,202,469,202,25,7
46.0,194,451,194,27,8
47.0,200,433,200,28,9
48.0,202,418,202,30,9
49.0,194,402,194,31,9
50.0,183,389,183,32,10
51.0,173,380,173,31,12
52.0,163,368,163,29,15
53.0,157,357,157,28,18
54.0,144,351,144,27,19
55.0,148,330,148,25,23
56.0,138,323,138,23,25
57.0,124,318,124,21,28
58.0,112,315,112,19,30
59.0,97,313,97,17,32
60.0,92,304,92,14,35
61.0,87,299,87,14,37
62.0,83,290,83,13,39
63.0,78,285,78,12,40
64.0,72,283,72,10,42
65.0,57,278,57,10,43
66.0,53,274,53,10,44
67.0,51,270,51,8,46
68.0,48,270,48,8,46
69.0,47,267,47,7,48
70.0,39,266,39,7,48
71.0,38,263,38,7,49
72.0,32,261,32,8,49
73.0,28,260,28,8,49
74.0,27,259,27,9,49
75.0,21,259,21,7,51
76.0,18,258,18,6,52
77.0,14,258,14,6,52
78.0,15,257,15,6,52
79.0,14,255,14,5,53
80.0,12,255,12,4,54
81.0,10,255,10,4,54
82.0,9,255,9,4,54
83.0,7,255,7,3,55
84.0,7,255,7,3,55
85.0,6,255,6,2,56
86.0,4,255,4,1,57
87.0,5,254,5,1,57
88.0,3,254,3,0,58
89.0,1,254,1,0,58
90.0,1,254,1,0,58
91.0,1,254,1,0,58
92.0,1,254,1,0,58
93.0,1,254,1,0,58
94.0,1,254,1,0,58
95.0,1,254,1,0,58
96.0,1,254,1,0,58
97.0,0,254,0,0,58
98.0,0,254,0,0,58
99.0,0,254,0,0,58
100.0,0,254,0,0,58
