time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3,1,999,1,0,0
4,1,999,1,0,0
5,1,999,1,0,0
6.0,3,997,3,1,0
7.0,3,997,3,1,0
8.0,5,995,5,1,0
9.0,8,992,8,2,0
10.0,10,989,10,2,0
11.0,14,985,14,2,0
12.0,16,983,16,2,0
13.0,18,981,18,2,0
14.0,27,972,27,4,0
15.0,38,961,38,5,0
16.0,66,932,66,6,0
17.0,102,896,102,12,0
18.0,144,852,144,20,0
19.0,205,789,205,24,0
20.0,289,701,289,30,1
21.0,350,636,350,41,1
22.0,404,580,404,44,1
23.0,473,508,473,55,2
24.0,539,435,539,66,2
25.0,570,394,570,70,2
26.0,584,352,584,74,2
27.0,602,304,602,81,2
28.0,607,261,607,85,4
29.0,567,241,567,87,5
30.0,505,221,505,90,6
31.0,462,204,462,86,12
32.0,419,186,419,79,20
33.0,368,173,368,77,24
34.0,307,165,307,74,31
35.0,269,155,269,64,42
36.0,236,147,236,63,45
37.0,189,141,189,51,57
38.0,142,140,142,41,68
39.0,125,136,125,37,72
40.0,107,134,107,33,76
41.0,88,131,88,26,83
42.0,67,129,67,22,89
43.0,54,128,54,20,92
44.0,46,128,46,16,96
45.0,36,127,36,14,98
46.0,30,126,30,13,99
47.0,23,125,23,11,101
48.0,20,124,20,7,105
49.0,15,124,15,6,106
50.0,11,124,11,4,108
51.0,9,123,9,4,108
52.0,8,123,8,3,109
53.0,9,122,9,3,109
54.0,9,122,9,3,109
55.0,9,121,9,4,109
56.0,6,121,6,2,111
57.0,4,121,4,1,112
58.0,3,121,3,1,112
59.0,3,121,3,1,112
60.0,4,120,4,1,112
61.0,3,120,3,1,112
62.0,3,120,3,1,112
63.0,2,120,2,1,112
64.0,2,120,2,1,112
65.0,2,120,2,1,112
66.0,2,120,2,1,112
67.0,2,120,2,1,112
68.0,2,120,2,1,112
69.0,1,120,1,0,113
70.0,0,120,0,0,113
71.0,0,120,0,0,113
72.0,0,120,0,0,113
73.0,0,120,0,0,113
74.0,0,120,0,0,113
75.0,0,120,0,0,113
76.0,0,120,0,0,113
77.0,0,120,0,0,113
78.0,0,120,0,0,113
79.0,0,120,0,0,113
80.0,0,120,0,0,113
81.0,0,120,0,0,113
82.0,0,120,0,0,113
83.0,0,120,0,0,113
84.0,0,120,0,0,113
85.0,0,120,0,0,113
86.0,0,120,0,0,113
87.0,0,120,0,0,113
88.0,0,120,0,0,113
89.0,0,120,0,0,113
90.0,0,120,0,0,113
91.0,0,120,0,0,113
92.0,0,120,0,0,113
93.0,0,120,0,0,113
94.0,0,120,0,0,113
95.0,0,120,0,0,113
96.0,0,120,0,0,113
97.0,0,120,0,0,113
98.0,0,120,0,0,113
99.0,1,120,1,0,113
100.0,1,120,1,0,113
