time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,898,2,0,0
2.0,2,898,2,0,0
3.0,3,897,3,0,0
4.0,4,896,4,0,0
5.0,5,895,5,0,0
6.0,7,893,7,0,0
7.0,8,892,8,0,0
8.0,9,891,9,0,0
9.0,11,889,11,0,0
10.0,13,886,13,0,0
11.0,14,884,14,0,0
12.0,19,879,19,0,0
13.0,25,872,25,0,0
14.0,36,860,36,0,0
15.0,42,853,42,0,0
16.0,47,846,47,0,0
17.0,52,840,52,0,0
18.0,58,833,58,0,0
19.0,62,827,62,0,0
20.0,72,814,72,0,0
21.0,85,799,85,0,0
22.0,101,778,101,0,0
23.0,108,764,108,0,0
24.0,121,739,121,0,0
25.0,138,715,138,0,0
26.0,151,695,151,0,0
27.0,156,684,156,0,0
28.0,174,659,174,0,0
29.0,189,638,189,0,0
30.0,193,621,193,0,0
31.0,200,599,200,0,0
32.0,214,564,214,0,0
33.0,224,540,224,0,0
34.0,215,524,215,0,0
35.0,214,501,214,0,0
36.0,226,469,226,0,0
37.0,236,448,236,0,0
38.0,238,421,238,0,0
39.0,240,398,240,0,0
40.0,244,377,244,0,0
41.0,237,362,237,0,0
42.0,218,346,218,0,0
43.0,216,324,216,0,0
44.0,210,314,210,0,0
45.0,197,304,197,0,0
46.0,177,292,177,0,0
47.0,175,273,175,0,0
48.0,157,264,157,0,0
49.0,139,259,139,0,0
50.0,127,250,127,0,0
51.0,116,246,116,0,0
52.0,106,240,106,0,0
53.0,87,237,87,0,0
54.0,84,230,84,0,0
55.0,76,228,76,0,0
56.0,69,223,69,0,0
57.0,52,221,52,0,0
58.0,44,220,44,0,0
59.0,43,216,43,0,0
60.0,36,214,36,0,0
61.0,35,211,35,0,0
62.0,29,211,29,0,0
63.0,30,207,30,0,0
64.0,24,206,24,0,0
65.0,22,206,22,0,0
66.0,17,206,17,0,0
67.0,16,205,16,0,0
68.0,16,204,16,0,0
69.0,13,203,13,0,0
70.0,12,202,12,0,0
71.0,9,202,9,0,0
72.0,9,202,9,0,0
73.0,5,202,5,0,0
74.0,4,202,4,0,0
75.0,4,202,4,0,0
76.0,4,202,4,0,0
77.0,4,201,4,0,0
78.0,3,201,3,0,0
79.0,2,201,2,0,0
80.0,1,201,1,0,0
81.0,1,201,1,0,0
82.0,1,201,1,0,0
83.0,1,201,1,0,0
84.0,2,200,2,0,0
85.0,2,200,2,0,0
86.0,2,200,2,0,0
87.0,3,198,3,0,0
88.0,4,197,4,0,0
89.0,4,197,4,0,0
90.0,4,197,4,0,0
91.0,4,197,4,0,0
92.0,4,197,4,0,0
93.0,4,197,4,0,0
94.0,3,197,3,0,0
95.0,3,197,3,0,0
96.0,3,197,3,0,0
97.0,1,197,1,0,0
98.0,0,197,0,0,0
99.0,0,197,0,0,0
100.0,0,197,0,0,0
