"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.32653061224,199,1
"2",1,1,0,0.32653061224,199,1
"3",2,1,0,0.32653061224,199,1
"4",3,1,0,0.32653061224,199,1
"5",4,1,0,0.32653061224,199,1
"6",5,1,0,0.32653061224,199,1
"7",6,2,0,0.52716770248,198,1
"8",7,3,0,0.85369831472,197,1
"9",8,8,0,1.94511665144,192,1
"10",9,8,0,1.94511665144,192,1
"11",10,13,0,2.96784180696,186,1
"12",11,18,0,4.03493891607,181,1
"13",12,23,0,5.1763126792,176,1
"14",13,39,0,8.56240487496,160,1
"15",14,53,0,11.47731627286,146,1
"16",15,65,0,14.09972903295,134,1
"17",16,79,0,17.14255274249,119,1
"18",17,93,0,19.88112817525,104,1
"19",18,109,0,23.32614866287,84,1
"20",19,124,0,26.50987903566,66,1
"21",20,135,0,28.83480623275,52,1
"22",21,138,1,29.53682276485,43,1
"23",22,137,1,29.48931408038,32,1
"24",23,131,4,28.23822177914,24,1
"25",24,125,6,26.96874501802,19,1
"26",25,119,6,25.74487277912,13,1
"27",26,108,10,23.52002798034,9,1
"28",27,92,13,20.00211015214,6,1
"29",28,75,16,16.23918328011,4,1
"30",29,63,19,13.58545552958,3,1
"31",30,54,23,11.55482213369,1,1
"32",31,43,27,9.29302824912,1,1
"33",32,34,29,7.43248538302,1,1
"34",33,27,33,5.83048796463,0,1
"35",34,20,35,4.34582201376,0,1
"36",35,14,39,2.85191266848,0,1
"37",36,11,40,2.2283083207,0,1
"38",37,8,41,1.61637220125,0,1
"39",38,7,42,1.40798020348,0,1
"40",39,3,44,0.6047680865,0,1
"41",40,2,45,0.40413099626,0,1
"42",41,2,45,0.40413099626,0,1
"43",42,0,46,0,0,1
"44",43,0,46,0,0,1
"45",44,0,46,0,0,1
"46",45,0,46,0,0,1
"47",46,0,46,0,0,1
"48",47,0,46,0,0,1
"49",48,0,46,0,0,1
"50",49,0,46,0,0,1
"51",50,0,46,0,0,1
"52",51,0,46,0,0,1
"53",52,0,46,0,0,1
"54",53,0,46,0,0,1
"55",54,0,46,0,0,1
"56",55,0,46,0,0,1
"57",56,0,46,0,0,1
"58",57,0,46,0,0,1
"59",58,0,46,0,0,1
"60",59,0,46,0,0,1
"61",60,0,46,0,0,1
"62",61,0,46,0,0,1
"63",62,0,46,0,0,1
"64",63,0,46,0,0,1
"65",64,0,46,0,0,1
"66",65,0,46,0,0,1
"67",66,0,46,0,0,1
"68",67,0,46,0,0,1
"69",68,0,46,0,0,1
"70",69,0,46,0,0,1
"71",70,0,46,0,0,1
"72",71,0,46,0,0,1
"73",72,0,46,0,0,1
"74",73,0,46,0,0,1
"75",74,0,46,0,0,1
"76",75,0,46,0,0,1
"77",76,0,46,0,0,1
"78",77,0,46,0,0,1
"79",78,0,46,0,0,1
"80",79,0,46,0,0,1
"81",80,0,46,0,0,1
"82",81,0,46,0,0,1
"83",82,0,46,0,0,1
"84",83,0,46,0,0,1
"85",84,0,46,0,0,1
"86",85,0,46,0,0,1
"87",86,0,46,0,0,1
"88",87,0,46,0,0,1
"89",88,0,46,0,0,1
"90",89,0,46,0,0,1
"91",90,0,46,0,0,1
"92",91,0,46,0,0,1
"93",92,0,46,0,0,1
"94",93,0,46,0,0,1
"95",94,0,46,0,0,1
"96",95,0,46,0,0,1
"97",96,0,46,0,0,1
"98",97,0,46,0,0,1
"99",98,0,46,0,0,1
"100",99,0,46,0,0,1
"101",100,0,46,0,0,1
