"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.22284016044,199,1
"2",1,1,0,0.22284016044,199,1
"3",2,2,0,0.42330298056,198,1
"4",3,2,0,0.42330298056,198,1
"5",4,3,0,0.646143141,197,1
"6",5,5,0,1.18106575101,195,1
"7",6,7,0,1.58958484588,193,1
"8",7,12,0,2.60851844648,188,1
"9",8,23,0,4.8862296032,177,1
"10",9,34,0,7.37809515398,166,1
"11",10,43,0,9.35424717609,156,1
"12",11,58,0,12.42519878098,140,1
"13",12,77,0,16.39398008923,121,1
"14",13,90,0,19.1392323609,107,1
"15",14,116,0,24.53591432653,81,1
"16",15,132,0,27.86817644015,64,1
"17",16,146,0,30.96982026595,49,1
"18",17,145,0,30.75847721183,37,1
"19",18,157,0,33.46271093021,25,1
"20",19,144,2,30.33977876822,19,1
"21",20,137,4,29.01649130236,12,1
"22",21,122,5,25.88797124033,9,1
"23",22,108,8,22.99601347466,7,1
"24",23,89,9,18.99210240514,4,1
"25",24,74,13,15.92314038816,3,1
"26",25,62,15,13.21787265109,2,1
"27",26,53,16,11.38575211659,2,1
"28",27,38,21,8.08728515357999,2,1
"29",28,27,26,5.80457872715,2,1
"30",29,18,30,3.95483152359,2,1
"31",30,12,34,2.69372117724,2,1
"32",31,8,36,1.74918260464,2,1
"33",32,7,36,1.5462755732,2,1
"34",33,5,38,1.01852099614,2,1
"35",34,3,39,0.61724681566,2,1
"36",35,3,39,0.61724681566,2,1
"37",36,2,41,0.41129902921,1,1
"38",37,1,42,0.20290703144,1,1
"39",38,1,42,0.20290703144,1,1
"40",39,1,42,0.20290703144,1,1
"41",40,1,42,0.20290703144,1,1
"42",41,1,42,0.20290703144,1,1
"43",42,1,42,0.20290703144,1,1
"44",43,1,42,0.20290703144,1,1
"45",44,1,42,0.20290703144,1,1
"46",45,0,42,0,1,1
"47",46,0,42,0,1,1
"48",47,0,42,0,1,1
"49",48,0,42,0,1,1
"50",49,0,42,0,1,1
"51",50,0,42,0,1,1
"52",51,0,42,0,1,1
"53",52,0,42,0,1,1
"54",53,0,42,0,1,1
"55",54,0,42,0,1,1
"56",55,0,42,0,1,1
"57",56,0,42,0,1,1
"58",57,0,42,0,1,1
"59",58,0,42,0,1,1
"60",59,0,42,0,1,1
"61",60,0,42,0,1,1
"62",61,0,42,0,1,1
"63",62,0,42,0,1,1
"64",63,0,42,0,1,1
"65",64,0,42,0,1,1
"66",65,0,42,0,1,1
"67",66,0,42,0,1,1
"68",67,0,42,0,1,1
"69",68,0,42,0,1,1
"70",69,0,42,0,1,1
"71",70,0,42,0,1,1
"72",71,0,42,0,1,1
"73",72,0,42,0,1,1
"74",73,0,42,0,1,1
"75",74,0,42,0,1,1
"76",75,0,42,0,1,1
"77",76,0,42,0,1,1
"78",77,0,42,0,1,1
"79",78,0,42,0,1,1
"80",79,0,42,0,1,1
"81",80,0,42,0,1,1
"82",81,0,42,0,1,1
"83",82,0,42,0,1,1
"84",83,0,42,0,1,1
"85",84,0,42,0,1,1
"86",85,0,42,0,1,1
"87",86,0,42,0,1,1
"88",87,0,42,0,1,1
"89",88,0,42,0,1,1
"90",89,0,42,0,1,1
"91",90,0,42,0,1,1
"92",91,0,42,0,1,1
"93",92,0,42,0,1,1
"94",93,0,42,0,1,1
"95",94,0,42,0,1,1
"96",95,0,42,0,1,1
"97",96,0,42,0,1,1
"98",97,0,42,0,1,1
"99",98,0,42,0,1,1
"100",99,0,42,0,1,1
"101",100,0,42,0,1,1
