time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,989,1,0,0
2,1,989,1,0,0
3,1,989,1,0,0
4,1,989,1,0,0
5,1,989,1,0,0
6.0,2,988,2,0,0
7.0,3,987,3,0,0
8.0,3,987,3,0,0
9.0,3,987,3,0,0
10.0,2,987,2,0,0
11.0,2,987,2,0,0
12.0,2,987,2,0,0
13.0,4,985,4,0,0
14.0,5,984,5,0,0
15.0,5,984,5,0,0
16.0,4,984,4,0,0
17.0,3,984,3,0,0
18.0,4,983,4,0,0
19.0,6,981,6,0,0
20.0,6,981,6,0,0
21.0,7,980,7,0,0
22.0,8,979,8,0,0
23.0,6,979,6,0,0
24.0,6,978,6,0,0
25.0,6,978,6,0,0
26.0,9,975,9,1,0
27.0,11,973,11,1,0
28.0,12,971,12,1,0
29.0,14,967,14,1,0
30.0,18,963,18,1,0
31.0,18,962,18,1,0
32.0,21,958,21,1,0
33.0,26,953,26,1,0
34.0,28,950,28,1,0
35.0,32,946,32,2,0
36.0,36,940,36,3,0
37.0,37,937,37,3,0
38.0,44,928,44,3,0
39.0,48,920,48,3,0
40.0,46,917,46,3,1
41.0,50,912,50,4,1
42.0,58,900,58,6,1
43.0,65,888,65,6,1
44.0,70,880,70,6,1
45.0,74,873,74,7,1
46.0,82,860,82,7,1
47.0,88,851,88,7,1
48.0,95,835,95,8,1
49.0,92,829,92,7,2
50.0,109,809,109,7,3
51.0,115,799,115,7,3
52.0,122,782,122,10,3
53.0,123,769,123,11,3
54.0,131,752,131,12,4
55.0,138,738,138,12,5
56.0,134,727,134,10,7
57.0,139,713,139,13,7
58.0,134,703,134,14,7
59.0,140,690,140,14,8
60.0,128,683,128,15,8
61.0,129,672,129,15,8
62.0,126,660,126,15,9
63.0,131,643,131,17,9
64.0,130,628,130,16,10
65.0,124,621,124,16,10
66.0,121,610,121,13,13
67.0,117,602,117,14,14
68.0,116,592,116,14,16
69.0,110,585,110,14,17
70.0,110,579,110,14,17
71.0,108,567,108,11,20
72.0,107,556,107,11,21
73.0,100,547,100,11,22
74.0,95,536,95,11,23
75.0,93,531,93,11,23
76.0,91,521,91,11,24
77.0,88,516,88,10,26
78.0,81,515,81,10,26
79.0,81,509,81,10,26
80.0,80,504,80,10,26
81.0,72,498,72,8,28
82.0,62,496,62,6,30
83.0,57,492,57,5,31
84.0,53,486,53,5,31
85.0,50,484,50,5,31
86.0,42,482,42,4,32
87.0,40,479,40,3,33
88.0,40,477,40,2,34
89.0,35,476,35,2,34
90.0,33,472,33,1,35
91.0,28,470,28,0,36
92.0,27,469,27,0,36
93.0,24,468,24,0,36
94.0,19,467,19,0,36
95.0,18,466,18,0,36
96.0,16,466,16,0,36
97.0,14,465,14,0,36
98.0,12,465,12,0,36
99.0,12,464,12,0,36
100.0,8,464,8,0,36
