time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,899,1,0,0
2,1,899,1,0,0
3.0,3,897,3,0,0
4.0,3,897,3,0,0
5.0,3,897,3,0,0
6.0,3,897,3,0,0
7.0,4,896,4,0,0
8.0,6,894,6,0,0
9.0,7,893,7,0,0
10.0,9,890,9,0,0
11.0,14,885,14,0,0
12.0,19,880,19,0,0
13.0,25,872,25,0,0
14.0,30,867,30,1,0
15.0,38,859,38,2,0
16.0,42,855,42,3,0
17.0,52,844,52,3,0
18.0,56,838,56,3,0
19.0,65,828,65,3,0
20.0,73,817,73,4,0
21.0,73,812,73,4,0
22.0,87,793,87,4,0
23.0,95,777,95,4,0
24.0,110,758,110,5,0
25.0,121,740,121,7,0
26.0,132,726,132,7,0
27.0,132,715,132,7,0
28.0,139,701,139,6,1
29.0,145,684,145,5,2
30.0,154,664,154,6,3
31.0,167,646,167,6,3
32.0,168,626,168,8,3
33.0,170,608,170,9,3
34.0,172,587,172,8,4
35.0,171,572,171,9,4
36.0,175,554,175,10,4
37.0,178,540,178,11,4
38.0,175,528,175,11,5
39.0,171,513,171,10,7
40.0,164,502,164,11,7
41.0,158,490,158,14,7
42.0,152,478,152,15,7
43.0,148,465,148,15,7
44.0,131,459,131,13,9
45.0,131,445,131,14,9
46.0,117,440,117,12,11
47.0,111,432,111,11,12
48.0,108,424,108,11,12
49.0,95,422,95,11,13
50.0,90,416,90,10,14
51.0,86,410,86,11,15
52.0,83,401,83,10,16
53.0,74,396,74,9,17
54.0,69,394,69,8,18
55.0,54,393,54,5,21
56.0,50,391,50,4,22
57.0,44,389,44,4,22
58.0,38,387,38,4,22
59.0,39,384,39,3,23
60.0,39,378,39,3,23
61.0,40,373,40,3,23
62.0,35,369,35,3,23
63.0,33,365,33,2,24
64.0,33,363,33,2,24
65.0,32,361,32,0,26
66.0,31,360,31,0,26
67.0,32,357,32,0,26
68.0,33,354,33,0,26
69.0,31,353,31,0,26
70.0,29,349,29,0,26
71.0,25,348,25,1,26
72.0,24,345,24,1,26
73.0,21,344,21,1,26
74.0,21,342,21,1,26
75.0,20,341,20,1,26
76.0,20,340,20,1,26
77.0,18,339,18,1,26
78.0,15,339,15,1,26
79.0,14,339,14,1,26
80.0,11,338,11,1,26
81.0,11,338,11,1,26
82.0,8,338,8,1,26
83.0,9,336,9,1,26
84.0,7,336,7,1,26
85.0,6,335,6,0,27
86.0,5,335,5,0,27
87.0,5,334,5,0,27
88.0,5,334,5,0,27
89.0,6,333,6,0,27
90.0,5,333,5,0,27
91.0,5,333,5,0,27
92.0,5,333,5,0,27
93.0,4,332,4,0,27
94.0,4,332,4,0,27
95.0,3,332,3,0,27
96.0,3,332,3,0,27
97.0,2,332,2,0,27
98.0,3,331,3,1,27
99.0,2,331,2,1,27
100.0,2,331,2,1,27
