"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,1,0,0.218205186436176,199,1
"3",2,1,0,0.218205186436176,199,1
"4",3,2,0,0.436410372872353,198,1
"5",4,3,0,0.654615559308529,197,1
"6",5,5,0,1.09102593218088,195,1
"7",6,7,0,1.52743630505323,193,1
"8",7,11,0,2.40025705079794,189,1
"9",8,12,0,2.61846223723412,188,1
"10",9,15,0,3.27307779654265,185,1
"11",10,17,0,3.709488169415,182,1
"12",11,21,0,4.5823089151597,178,1
"13",12,25,0,5.45512966090441,173,1
"14",13,37,0,8.07359189813852,160,1
"15",14,55,0,12.0012852539897,140,1
"16",15,64,0,13.9651319319153,129,1
"17",16,77,0,16.8017993555856,113,1
"18",17,91,0,19.856671965692,98,1
"19",18,112,0,24.4389808808517,77,1
"20",19,130,0,28.3666742367029,58,1
"21",20,140,0,30.5487261010647,46,1
"22",21,148,1,32.2943675925541,34,1
"23",22,152,1,33.1671883382988,26,1
"24",23,146,3,31.8579572196817,17,1
"25",24,138,4,30.1123157281923,10,1
"26",25,131,5,28.5848794231391,7,1
"27",26,121,6,26.4028275587773,3,1
"28",27,113,6,24.6571860672879,1,1
"29",28,90,12,19.6384667792559,0,1
"30",29,79,14,17.2382097284579,0,1
"31",30,66,17,14.4015423047876,0,1
"32",31,50,22,10.9102593218088,0,1
"33",32,41,25,8.94641264388323,0,1
"34",33,23,35,5.01871928803206,0,1
"35",34,16,37,3.49128298297882,0,1
"36",35,12,38,2.61846223723412,0,1
"37",36,7,40,1.52743630505323,0,1
"38",37,4,41,0.872820745744706,0,1
"39",38,1,43,0.218205186436176,0,1
"40",39,1,43,0.218205186436176,0,1
"41",40,0,44,0,0,1
"42",41,0,44,0,0,1
"43",42,0,44,0,0,1
"44",43,0,44,0,0,1
"45",44,0,44,0,0,1
"46",45,0,44,0,0,1
"47",46,0,44,0,0,1
"48",47,0,44,0,0,1
"49",48,0,44,0,0,1
"50",49,0,44,0,0,1
"51",50,0,44,0,0,1
"52",51,0,44,0,0,1
"53",52,0,44,0,0,1
"54",53,0,44,0,0,1
"55",54,0,44,0,0,1
"56",55,0,44,0,0,1
"57",56,0,44,0,0,1
"58",57,0,44,0,0,1
"59",58,0,44,0,0,1
"60",59,0,44,0,0,1
"61",60,0,44,0,0,1
"62",61,0,44,0,0,1
"63",62,0,44,0,0,1
"64",63,0,44,0,0,1
"65",64,0,44,0,0,1
"66",65,0,44,0,0,1
"67",66,0,44,0,0,1
"68",67,0,44,0,0,1
"69",68,0,44,0,0,1
"70",69,0,44,0,0,1
"71",70,0,44,0,0,1
"72",71,0,44,0,0,1
"73",72,0,44,0,0,1
"74",73,0,44,0,0,1
"75",74,0,44,0,0,1
"76",75,0,44,0,0,1
"77",76,0,44,0,0,1
"78",77,0,44,0,0,1
"79",78,0,44,0,0,1
"80",79,0,44,0,0,1
"81",80,0,44,0,0,1
"82",81,0,44,0,0,1
"83",82,0,44,0,0,1
"84",83,0,44,0,0,1
"85",84,0,44,0,0,1
"86",85,0,44,0,0,1
"87",86,0,44,0,0,1
"88",87,0,44,0,0,1
"89",88,0,44,0,0,1
"90",89,0,44,0,0,1
"91",90,0,44,0,0,1
"92",91,0,44,0,0,1
"93",92,0,44,0,0,1
"94",93,0,44,0,0,1
"95",94,0,44,0,0,1
"96",95,0,44,0,0,1
"97",96,0,44,0,0,1
"98",97,0,44,0,0,1
"99",98,0,44,0,0,1
"100",99,0,44,0,0,1
"101",100,0,44,0,0,1
