time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,949,1,0,0
2.0,2,948,2,0,0
3.0,3,947,3,0,0
4.0,5,945,5,0,0
5.0,5,945,5,0,0
6.0,6,944,6,1,0
7.0,7,943,7,1,0
8.0,7,943,7,1,0
9.0,9,941,9,2,0
10.0,11,938,11,2,0
11.0,14,935,14,2,0
12.0,14,934,14,2,0
13.0,16,931,16,3,0
14.0,15,930,15,3,0
15.0,16,929,16,3,0
16.0,18,927,18,3,0
17.0,20,924,20,4,0
18.0,24,920,24,5,0
19.0,30,913,30,6,0
20.0,30,909,30,5,1
21.0,32,904,32,5,1
22.0,35,900,35,6,1
23.0,39,893,39,5,2
24.0,42,889,42,5,2
25.0,46,884,46,5,2
26.0,53,875,53,5,2
27.0,63,862,63,5,3
28.0,67,855,67,5,3
29.0,69,847,69,5,3
30.0,78,834,78,5,3
31.0,86,820,86,5,4
32.0,97,805,97,4,5
33.0,103,791,103,7,6
34.0,114,776,114,9,6
35.0,125,760,125,9,6
36.0,127,748,127,9,7
37.0,133,730,133,10,7
38.0,135,721,135,10,7
39.0,145,703,145,13,7
40.0,141,694,141,13,7
41.0,139,682,139,13,8
42.0,136,670,136,13,8
43.0,144,652,144,15,8
44.0,147,636,147,17,8
45.0,145,621,145,17,9
46.0,143,612,143,17,9
47.0,128,606,128,14,13
48.0,134,589,134,13,15
49.0,135,573,135,13,15
50.0,142,556,142,12,16
51.0,140,546,140,12,17
52.0,140,534,140,15,17
53.0,135,520,135,14,20
54.0,131,510,131,14,20
55.0,124,502,124,13,21
56.0,120,497,120,13,21
57.0,126,484,126,11,23
58.0,115,477,115,9,25
59.0,105,470,105,8,26
60.0,93,465,93,8,26
61.0,93,455,93,7,27
62.0,89,449,89,6,28
63.0,81,445,81,6,28
64.0,79,437,79,6,28
65.0,74,433,74,5,29
66.0,68,431,68,3,32
67.0,58,426,58,1,34
68.0,53,424,53,1,34
69.0,50,420,50,1,34
70.0,50,415,50,1,34
71.0,43,412,43,1,34
72.0,39,410,39,1,34
73.0,38,407,38,1,34
74.0,31,406,31,1,34
75.0,28,405,28,1,34
76.0,28,404,28,1,34
77.0,23,404,23,1,34
78.0,23,402,23,2,34
79.0,19,402,19,2,34
80.0,15,400,15,1,35
81.0,12,400,12,1,35
82.0,11,399,11,1,35
83.0,8,399,8,1,35
84.0,7,399,7,1,35
85.0,6,399,6,1,35
86.0,5,399,5,1,35
87.0,5,399,5,1,35
88.0,4,399,4,1,35
89.0,4,399,4,1,35
90.0,3,399,3,1,35
91.0,3,399,3,1,35
92.0,1,399,1,0,36
93.0,1,399,1,0,36
94.0,1,399,1,0,36
95.0,1,399,1,0,36
96.0,1,399,1,0,36
97.0,1,399,1,0,36
98.0,1,399,1,0,36
99.0,1,399,1,0,36
100.0,0,399,0,0,36
