time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,949,1,0,0
2.0,3,947,3,0,0
3.0,4,946,4,0,0
4.0,5,945,5,1,0
5.0,7,943,7,2,0
6.0,11,939,11,2,0
7.0,17,933,17,2,0
8.0,18,932,18,2,0
9.0,21,929,21,2,0
10.0,26,923,26,2,0
11.0,35,914,35,3,0
12.0,38,909,38,3,0
13.0,38,908,38,3,0
14.0,44,902,44,5,0
15.0,56,889,56,7,0
16.0,65,876,65,7,0
17.0,70,865,70,8,0
18.0,76,857,76,7,1
19.0,81,848,81,6,2
20.0,89,834,89,7,2
21.0,92,823,92,8,2
22.0,98,812,98,10,2
23.0,114,795,114,12,2
24.0,125,780,125,12,2
25.0,128,765,128,12,3
26.0,131,749,131,12,3
27.0,136,734,136,12,3
28.0,141,719,141,11,5
29.0,148,701,148,10,7
30.0,153,683,153,10,7
31.0,164,661,164,12,8
32.0,179,637,179,16,8
33.0,188,613,188,17,8
34.0,190,595,190,17,9
35.0,201,569,201,17,10
36.0,199,553,199,16,12
37.0,202,533,202,15,14
38.0,208,513,208,15,14
39.0,209,494,209,15,15
40.0,200,485,200,15,15
41.0,194,472,194,16,15
42.0,197,448,197,17,16
43.0,187,434,187,16,17
44.0,190,414,190,18,17
45.0,176,400,176,15,20
46.0,164,393,164,11,24
47.0,154,383,154,11,25
48.0,139,377,139,10,26
49.0,130,367,130,10,27
50.0,132,355,132,10,28
51.0,129,345,129,10,29
52.0,112,340,112,10,29
53.0,104,333,104,9,30
54.0,91,328,91,9,30
55.0,79,325,79,8,31
56.0,75,320,75,6,33
57.0,71,315,71,6,33
58.0,64,314,64,4,35
59.0,58,311,58,4,35
60.0,48,310,48,4,35
61.0,41,307,41,3,36
62.0,39,304,39,3,36
63.0,32,303,32,2,37
64.0,27,302,27,1,38
65.0,23,302,23,0,39
66.0,18,302,18,0,39
67.0,16,299,16,1,39
68.0,16,298,16,1,39
69.0,14,297,14,1,39
70.0,13,297,13,1,39
71.0,10,297,10,1,39
72.0,7,297,7,1,39
73.0,6,297,6,1,39
74.0,5,297,5,1,39
75.0,5,297,5,1,39
76.0,6,296,6,1,39
77.0,4,296,4,1,39
78.0,3,296,3,1,39
79.0,2,296,2,1,39
80.0,2,296,2,1,39
81.0,1,296,1,0,40
82.0,1,296,1,0,40
83.0,1,296,1,0,40
84.0,1,296,1,0,40
85.0,1,296,1,0,40
86.0,0,296,0,0,40
87.0,0,296,0,0,40
88.0,0,296,0,0,40
89.0,0,296,0,0,40
90.0,0,296,0,0,40
91.0,0,296,0,0,40
92.0,0,296,0,0,40
93.0,0,296,0,0,40
94.0,0,296,0,0,40
95.0,0,296,0,0,40
96.0,0,296,0,0,40
97.0,0,296,0,0,40
98.0,0,296,0,0,40
99.0,0,296,0,0,40
100.0,0,296,0,0,40
