time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,949,1,0,0
2,1,949,1,0,0
3,1,949,1,0,0
4,1,949,1,0,0
5.0,2,948,2,0,0
6.0,2,948,2,0,0
7.0,2,948,2,0,0
8.0,2,948,2,0,0
9.0,3,947,3,0,0
10.0,3,946,3,0,0
11.0,4,945,4,0,0
12.0,5,944,5,0,0
13.0,5,944,5,0,0
14.0,7,942,7,0,0
15.0,6,942,6,0,0
16.0,7,941,7,1,0
17.0,12,936,12,1,0
18.0,16,932,16,2,0
19.0,20,927,20,2,0
20.0,22,924,22,2,0
21.0,21,924,21,2,0
22.0,23,921,23,3,0
23.0,27,917,27,3,0
24.0,27,915,27,3,0
25.0,28,914,28,3,0
26.0,31,911,31,3,0
27.0,33,904,33,4,0
28.0,33,901,33,5,0
29.0,31,898,31,6,0
30.0,30,895,30,6,1
31.0,35,890,35,8,1
32.0,35,887,35,8,2
33.0,41,877,41,8,2
34.0,48,868,48,11,2
35.0,56,859,56,12,2
36.0,63,848,63,13,3
37.0,68,837,68,14,3
38.0,88,815,88,18,3
39.0,99,802,99,20,3
40.0,108,791,108,21,3
41.0,125,770,125,21,4
42.0,139,753,139,21,5
43.0,153,728,153,22,6
44.0,167,707,167,25,7
45.0,176,688,176,27,9
46.0,180,674,180,27,10
47.0,189,655,189,28,10
48.0,189,634,189,28,13
49.0,188,623,188,28,14
50.0,188,611,188,28,16
51.0,176,602,176,28,17
52.0,170,588,170,26,21
53.0,156,577,156,24,23
54.0,160,555,160,26,24
55.0,153,546,153,25,25
56.0,154,531,154,26,26
57.0,143,522,143,24,28
58.0,138,505,138,22,32
59.0,137,492,137,20,36
60.0,135,483,135,21,37
61.0,140,469,140,20,38
62.0,134,460,134,17,41
63.0,129,453,129,16,42
64.0,119,442,119,15,44
65.0,121,430,121,18,45
66.0,115,421,115,16,47
67.0,113,414,113,17,47
68.0,100,409,100,14,50
69.0,99,399,99,15,50
70.0,96,393,96,16,52
71.0,88,387,88,18,52
72.0,81,383,81,16,54
73.0,78,377,78,15,56
74.0,69,374,69,13,58
75.0,64,371,64,13,58
76.0,62,364,62,13,58
77.0,62,358,62,13,58
78.0,60,354,60,12,59
79.0,52,349,52,8,63
80.0,54,344,54,8,63
81.0,54,339,54,7,64
82.0,52,337,52,7,64
83.0,47,336,47,6,65
84.0,42,335,42,3,68
85.0,40,332,40,1,70
86.0,36,329,36,2,70
87.0,33,325,33,2,71
88.0,29,325,29,2,71
89.0,26,323,26,3,71
90.0,23,321,23,4,71
91.0,21,318,21,4,71
92.0,19,318,19,4,71
93.0,18,318,18,4,71
94.0,19,316,19,4,71
95.0,17,315,17,4,71
96.0,15,315,15,4,71
97.0,13,314,13,4,71
98.0,13,314,13,4,71
99.0,15,311,15,4,71
100.0,13,311,13,3,72
