time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,949,1,0,0
2.0,2,948,2,0,0
3.0,3,947,3,0,0
4.0,3,947,3,0,0
5.0,4,946,4,0,0
6.0,5,945,5,0,0
7.0,6,944,6,0,0
8.0,7,943,7,0,0
9.0,8,942,8,0,0
10.0,8,941,8,0,0
11.0,15,934,15,0,0
12.0,15,933,15,0,0
13.0,18,929,18,0,0
14.0,20,927,20,1,0
15.0,20,926,20,1,0
16.0,21,924,21,1,0
17.0,25,919,25,1,0
18.0,29,914,29,2,0
19.0,32,910,32,2,0
20.0,35,906,35,2,0
21.0,30,904,30,2,0
22.0,33,900,33,3,0
23.0,37,892,37,3,0
24.0,42,886,42,3,0
25.0,48,879,48,3,0
26.0,56,869,56,5,0
27.0,58,862,58,5,0
28.0,68,847,68,4,1
29.0,72,839,72,4,1
30.0,83,824,83,4,1
31.0,89,816,89,4,1
32.0,90,811,90,3,2
33.0,90,803,90,4,2
34.0,94,793,94,4,2
35.0,99,781,99,4,2
36.0,94,777,94,3,3
37.0,104,760,104,4,3
38.0,102,747,102,5,3
39.0,103,738,103,5,3
40.0,97,727,97,4,5
41.0,100,716,100,4,5
42.0,106,705,106,4,5
43.0,112,692,112,4,5
44.0,115,679,115,5,5
45.0,111,671,111,5,5
46.0,118,660,118,5,5
47.0,120,641,120,5,6
48.0,120,629,120,6,6
49.0,124,616,124,6,6
50.0,130,600,130,7,6
51.0,133,585,133,7,7
52.0,133,573,133,9,8
53.0,132,561,132,9,8
54.0,132,548,132,8,9
55.0,136,536,136,8,9
56.0,143,518,143,9,9
57.0,141,502,141,11,9
58.0,144,487,144,10,10
59.0,142,476,142,11,10
60.0,140,463,140,12,10
61.0,140,448,140,11,11
62.0,151,427,151,11,12
63.0,146,420,146,11,12
64.0,143,409,143,10,13
65.0,136,403,136,9,14
66.0,128,391,128,6,17
67.0,127,378,127,6,17
68.0,119,371,119,6,17
69.0,116,364,116,6,17
70.0,109,358,109,5,18
71.0,98,352,98,4,20
72.0,81,349,81,5,20
73.0,77,345,77,4,21
74.0,68,342,68,3,22
75.0,67,337,67,3,22
76.0,60,331,60,2,23
77.0,49,329,49,2,23
78.0,44,327,44,2,23
79.0,39,325,39,2,23
80.0,35,323,35,2,23
81.0,32,321,32,2,23
82.0,32,319,32,2,23
83.0,31,316,31,2,23
84.0,28,316,28,2,23
85.0,24,314,24,1,24
86.0,18,313,18,0,25
87.0,17,312,17,0,25
88.0,16,311,16,0,25
89.0,14,311,14,0,25
90.0,14,309,14,0,25
91.0,12,309,12,0,25
92.0,10,309,10,0,25
93.0,8,308,8,0,25
94.0,8,308,8,0,25
95.0,6,308,6,0,25
96.0,6,307,6,0,25
97.0,6,306,6,0,25
98.0,5,306,5,0,25
99.0,5,306,5,0,25
100.0,3,306,3,0,25
