"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,1,0,0.218205186436176,199,1
"3",2,2,0,0.436410372872353,198,1
"4",3,2,0,0.436410372872353,198,1
"5",4,3,0,0.654615559308529,197,1
"6",5,8,0,1.74564149148941,192,1
"7",6,14,0,3.05487261010647,186,1
"8",7,18,0,3.92769335585118,182,1
"9",8,28,0,6.10974522021294,172,1
"10",9,45,0,9.81923338962793,155,1
"11",10,64,0,13.9651319319153,135,1
"12",11,76,0,16.5835941691494,122,1
"13",12,89,0,19.4202615928197,109,1
"14",13,108,0,23.566160135107,89,1
"15",14,119,0,25.966417185905,73,1
"16",15,139,0,30.3305209146285,49,1
"17",16,153,0,33.385393524735,32,1
"18",17,153,0,33.385393524735,24,1
"19",18,141,0,30.7669312875008,22,1
"20",19,125,2,27.275648304522,17,1
"21",20,117,3,25.5300068130326,14,1
"22",21,107,5,23.3479549486708,10,1
"23",22,89,8,19.4202615928197,9,1
"24",23,80,9,17.4564149148941,6,1
"25",24,83,9,18.1110304742026,3,1
"26",25,60,12,13.0923111861706,3,1
"27",26,42,13,9.1646178303194,3,1
"28",27,31,17,6.76436077952147,3,1
"29",28,24,22,5.23692447446823,3,1
"30",29,17,26,3.709488169415,2,1
"31",30,14,26,3.05487261010647,2,1
"32",31,11,27,2.40025705079794,2,1
"33",32,11,27,2.40025705079794,1,1
"34",33,5,28,1.09102593218088,1,1
"35",34,3,30,0.654615559308529,1,1
"36",35,3,30,0.654615559308529,1,1
"37",36,3,30,0.654615559308529,1,1
"38",37,2,31,0.436410372872353,1,1
"39",38,1,31,0.218205186436176,1,1
"40",39,1,31,0.218205186436176,1,1
"41",40,1,31,0.218205186436176,1,1
"42",41,0,31,0,1,1
"43",42,0,31,0,1,1
"44",43,0,31,0,1,1
"45",44,0,31,0,1,1
"46",45,0,31,0,1,1
"47",46,0,31,0,1,1
"48",47,0,31,0,1,1
"49",48,0,31,0,1,1
"50",49,0,31,0,1,1
"51",50,0,31,0,1,1
"52",51,0,31,0,1,1
"53",52,0,31,0,1,1
"54",53,0,31,0,1,1
"55",54,0,31,0,1,1
"56",55,0,31,0,1,1
"57",56,0,31,0,1,1
"58",57,0,31,0,1,1
"59",58,0,31,0,1,1
"60",59,0,31,0,1,1
"61",60,0,31,0,1,1
"62",61,0,31,0,1,1
"63",62,0,31,0,1,1
"64",63,0,31,0,1,1
"65",64,0,31,0,1,1
"66",65,0,31,0,1,1
"67",66,0,31,0,1,1
"68",67,0,31,0,1,1
"69",68,0,31,0,1,1
"70",69,0,31,0,1,1
"71",70,0,31,0,1,1
"72",71,0,31,0,1,1
"73",72,0,31,0,1,1
"74",73,0,31,0,1,1
"75",74,0,31,0,1,1
"76",75,0,31,0,1,1
"77",76,0,31,0,1,1
"78",77,0,31,0,1,1
"79",78,0,31,0,1,1
"80",79,0,31,0,1,1
"81",80,0,31,0,1,1
"82",81,0,31,0,1,1
"83",82,0,31,0,1,1
"84",83,0,31,0,1,1
"85",84,0,31,0,1,1
"86",85,0,31,0,1,1
"87",86,0,31,0,1,1
"88",87,0,31,0,1,1
"89",88,0,31,0,1,1
"90",89,0,31,0,1,1
"91",90,0,31,0,1,1
"92",91,0,31,0,1,1
"93",92,0,31,0,1,1
"94",93,0,31,0,1,1
"95",94,0,31,0,1,1
"96",95,0,31,0,1,1
"97",96,0,31,0,1,1
"98",97,0,31,0,1,1
"99",98,0,31,0,1,1
"100",99,0,31,0,1,1
"101",100,0,31,0,1,1
