"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,1,0,0.218205186436176,199,1
"3",2,1,0,0.218205186436176,199,1
"4",3,1,0,0.218205186436176,199,1
"5",4,2,0,0.436410372872353,198,1
"6",5,2,0,0.436410372872353,198,1
"7",6,2,0,0.436410372872353,198,1
"8",7,3,0,0.654615559308529,197,1
"9",8,4,0,0.872820745744706,196,1
"10",9,8,0,1.74564149148941,192,1
"11",10,8,0,1.74564149148941,191,1
"12",11,9,0,1.96384667792559,190,1
"13",12,16,0,3.49128298297882,183,1
"14",13,22,0,4.80051410159588,176,1
"15",14,28,0,6.10974522021294,170,1
"16",15,44,0,9.60102820319175,154,1
"17",16,56,0,12.2194904404259,141,1
"18",17,78,0,17.0200045420217,119,1
"19",18,101,0,22.0387238300538,93,1
"20",19,112,0,24.4389808808517,81,1
"21",20,136,0,29.67590535532,57,1
"22",21,157,0,34.2582142704797,36,1
"23",22,159,1,34.694624643352,28,1
"24",23,159,2,34.694624643352,20,1
"25",24,146,3,31.8579572196817,15,1
"26",25,135,5,29.4577001688838,13,1
"27",26,119,5,25.966417185905,12,1
"28",27,99,6,21.6023134571814,9,1
"29",28,87,10,18.9838512199473,7,1
"30",29,64,12,13.9651319319153,7,1
"31",30,44,17,9.60102820319175,6,1
"32",31,36,21,7.85538671170235,6,1
"33",32,27,23,5.89154003377676,5,1
"34",33,21,26,4.5823089151597,5,1
"35",34,15,31,3.27307779654265,5,1
"36",35,11,35,2.40025705079794,4,1
"37",36,8,35,1.74564149148941,4,1
"38",37,4,37,0.872820745744706,4,1
"39",38,3,38,0.654615559308529,4,1
"40",39,2,38,0.436410372872353,4,1
"41",40,2,38,0.436410372872353,4,1
"42",41,1,38,0.218205186436176,4,1
"43",42,1,38,0.218205186436176,4,1
"44",43,1,38,0.218205186436176,4,1
"45",44,0,38,0,4,1
"46",45,0,38,0,4,1
"47",46,0,38,0,4,1
"48",47,0,38,0,4,1
"49",48,0,38,0,4,1
"50",49,0,38,0,4,1
"51",50,0,38,0,4,1
"52",51,0,38,0,4,1
"53",52,0,38,0,4,1
"54",53,0,38,0,4,1
"55",54,0,38,0,4,1
"56",55,0,38,0,4,1
"57",56,0,38,0,4,1
"58",57,0,38,0,4,1
"59",58,0,38,0,4,1
"60",59,0,38,0,4,1
"61",60,0,38,0,4,1
"62",61,0,38,0,4,1
"63",62,0,38,0,4,1
"64",63,0,38,0,4,1
"65",64,0,38,0,4,1
"66",65,0,38,0,4,1
"67",66,0,38,0,4,1
"68",67,0,38,0,4,1
"69",68,0,38,0,4,1
"70",69,0,38,0,4,1
"71",70,0,38,0,4,1
"72",71,0,38,0,4,1
"73",72,0,38,0,4,1
"74",73,0,38,0,4,1
"75",74,0,38,0,4,1
"76",75,0,38,0,4,1
"77",76,0,38,0,4,1
"78",77,0,38,0,4,1
"79",78,0,38,0,4,1
"80",79,0,38,0,4,1
"81",80,0,38,0,4,1
"82",81,0,38,0,4,1
"83",82,0,38,0,4,1
"84",83,0,38,0,4,1
"85",84,0,38,0,4,1
"86",85,0,38,0,4,1
"87",86,0,38,0,4,1
"88",87,0,38,0,4,1
"89",88,0,38,0,4,1
"90",89,0,38,0,4,1
"91",90,0,38,0,4,1
"92",91,0,38,0,4,1
"93",92,0,38,0,4,1
"94",93,0,38,0,4,1
"95",94,0,38,0,4,1
"96",95,0,38,0,4,1
"97",96,0,38,0,4,1
"98",97,0,38,0,4,1
"99",98,0,38,0,4,1
"100",99,0,38,0,4,1
"101",100,0,38,0,4,1
