"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,1,0,0.218205186436176,199,1
"3",2,1,0,0.218205186436176,199,1
"4",3,2,0,0.436410372872353,198,1
"5",4,2,0,0.436410372872353,198,1
"6",5,2,0,0.436410372872353,198,1
"7",6,3,0,0.654615559308529,197,1
"8",7,3,0,0.654615559308529,197,1
"9",8,3,0,0.654615559308529,197,1
"10",9,3,0,0.654615559308529,197,1
"11",10,2,0,0.436410372872353,197,1
"12",11,4,0,0.872820745744706,195,1
"13",12,5,0,1.09102593218088,194,1
"14",13,7,0,1.52743630505323,192,1
"15",14,8,0,1.74564149148941,191,1
"16",15,11,0,2.40025705079794,187,1
"17",16,17,1,3.709488169415,180,1
"18",17,29,1,6.32795040664911,168,1
"19",18,45,1,9.81923338962793,152,1
"20",19,64,1,13.9651319319153,133,1
"21",20,74,1,16.147183796277,121,1
"22",21,95,1,20.7294927114367,99,1
"23",22,110,1,24.0025705079794,84,1
"24",23,123,1,26.8392379316497,69,1
"25",24,134,1,29.2394949824476,57,1
"26",25,144,1,31.4215468468094,43,1
"27",26,150,1,32.7307779654264,32,1
"28",27,147,1,32.0761624061179,25,1
"29",28,142,1,30.985136473937,18,1
"30",29,130,1,28.3666742367029,15,1
"31",30,121,3,26.4028275587773,11,1
"32",31,102,5,22.25692901649,10,1
"33",32,87,9,18.9838512199473,10,1
"34",33,73,13,15.9289786098409,9,1
"35",34,62,14,13.5287215590429,8,1
"36",35,48,18,10.4738489489365,7,1
"37",36,36,22,7.85538671170235,5,1
"38",37,28,26,6.10974522021294,4,1
"39",38,21,27,4.5823089151597,4,1
"40",39,16,30,3.49128298297882,4,1
"41",40,15,31,3.27307779654265,2,1
"42",41,12,33,2.61846223723412,2,1
"43",42,11,34,2.40025705079794,2,1
"44",43,9,35,1.96384667792559,2,1
"45",44,6,37,1.30923111861706,2,1
"46",45,5,37,1.09102593218088,2,1
"47",46,4,37,0.872820745744706,2,1
"48",47,3,37,0.654615559308529,2,1
"49",48,3,37,0.654615559308529,2,1
"50",49,3,37,0.654615559308529,2,1
"51",50,0,38,0,2,1
"52",51,0,38,0,2,1
"53",52,0,38,0,2,1
"54",53,0,38,0,2,1
"55",54,0,38,0,2,1
"56",55,0,38,0,2,1
"57",56,0,38,0,2,1
"58",57,0,38,0,2,1
"59",58,0,38,0,2,1
"60",59,0,38,0,2,1
"61",60,0,38,0,2,1
"62",61,0,38,0,2,1
"63",62,0,38,0,2,1
"64",63,0,38,0,2,1
"65",64,0,38,0,2,1
"66",65,0,38,0,2,1
"67",66,0,38,0,2,1
"68",67,0,38,0,2,1
"69",68,0,38,0,2,1
"70",69,0,38,0,2,1
"71",70,0,38,0,2,1
"72",71,0,38,0,2,1
"73",72,0,38,0,2,1
"74",73,0,38,0,2,1
"75",74,0,38,0,2,1
"76",75,0,38,0,2,1
"77",76,0,38,0,2,1
"78",77,0,38,0,2,1
"79",78,0,38,0,2,1
"80",79,0,38,0,2,1
"81",80,0,38,0,2,1
"82",81,0,38,0,2,1
"83",82,0,38,0,2,1
"84",83,0,38,0,2,1
"85",84,0,38,0,2,1
"86",85,0,38,0,2,1
"87",86,0,38,0,2,1
"88",87,0,38,0,2,1
"89",88,0,38,0,2,1
"90",89,0,38,0,2,1
"91",90,0,38,0,2,1
"92",91,0,38,0,2,1
"93",92,0,38,0,2,1
"94",93,0,38,0,2,1
"95",94,0,38,0,2,1
"96",95,0,38,0,2,1
"97",96,0,38,0,2,1
"98",97,0,38,0,2,1
"99",98,0,38,0,2,1
"100",99,0,38,0,2,1
"101",100,0,38,0,2,1
"102",101,0,38,0,2,1
