"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,2,0,0.436410372872353,198,1
"3",2,2,0,0.436410372872353,198,1
"4",3,3,0,0.654615559308529,197,1
"5",4,5,0,1.09102593218088,195,1
"6",5,8,0,1.74564149148941,192,1
"7",6,11,0,2.40025705079794,189,1
"8",7,13,0,2.83666742367029,187,1
"9",8,26,0,5.67333484734058,174,1
"10",9,39,0,8.51000227101087,161,1
"11",10,56,0,12.2194904404259,142,1
"12",11,67,0,14.6197474912238,131,1
"13",12,88,0,19.2020564063835,109,1
"14",13,108,0,23.566160135107,87,1
"15",14,131,0,28.5848794231391,61,1
"16",15,146,0,31.8579572196817,44,1
"17",16,159,0,34.694624643352,30,1
"18",17,157,0,34.2582142704797,23,1
"19",18,150,0,32.7307779654264,18,1
"20",19,136,1,29.67590535532,17,1
"21",20,128,2,27.9302638638305,14,1
"22",21,109,6,23.7843653215432,10,1
"23",22,96,7,20.9476978978729,6,1
"24",23,75,12,16.3653889827132,5,1
"25",24,63,13,13.7469267454791,4,1
"26",25,49,16,10.6920541353726,4,1
"27",26,39,22,8.51000227101087,3,1
"28",27,25,31,5.45512966090441,3,1
"29",28,20,36,4.36410372872353,2,1
"30",29,14,39,3.05487261010647,2,1
"31",30,10,41,2.18205186436176,2,1
"32",31,7,41,1.52743630505323,2,1
"33",32,6,41,1.30923111861706,2,1
"34",33,5,41,1.09102593218088,2,1
"35",34,3,43,0.654615559308529,2,1
"36",35,1,44,0.218205186436176,2,1
"37",36,1,44,0.218205186436176,2,1
"38",37,1,44,0.218205186436176,2,1
"39",38,1,44,0.218205186436176,2,1
"40",39,1,44,0.218205186436176,2,1
"41",40,1,44,0.218205186436176,2,1
"42",41,0,45,0,2,1
"43",42,0,45,0,2,1
"44",43,0,45,0,2,1
"45",44,0,45,0,2,1
"46",45,0,45,0,2,1
"47",46,0,45,0,2,1
"48",47,0,45,0,2,1
"49",48,0,45,0,2,1
"50",49,0,45,0,2,1
"51",50,0,45,0,2,1
"52",51,0,45,0,2,1
"53",52,0,45,0,2,1
"54",53,0,45,0,2,1
"55",54,0,45,0,2,1
"56",55,0,45,0,2,1
"57",56,0,45,0,2,1
"58",57,0,45,0,2,1
"59",58,0,45,0,2,1
"60",59,0,45,0,2,1
"61",60,0,45,0,2,1
"62",61,0,45,0,2,1
"63",62,0,45,0,2,1
"64",63,0,45,0,2,1
"65",64,0,45,0,2,1
"66",65,0,45,0,2,1
"67",66,0,45,0,2,1
"68",67,0,45,0,2,1
"69",68,0,45,0,2,1
"70",69,0,45,0,2,1
"71",70,0,45,0,2,1
"72",71,0,45,0,2,1
"73",72,0,45,0,2,1
"74",73,0,45,0,2,1
"75",74,0,45,0,2,1
"76",75,0,45,0,2,1
"77",76,0,45,0,2,1
"78",77,0,45,0,2,1
"79",78,0,45,0,2,1
"80",79,0,45,0,2,1
"81",80,0,45,0,2,1
"82",81,0,45,0,2,1
"83",82,0,45,0,2,1
"84",83,0,45,0,2,1
"85",84,0,45,0,2,1
"86",85,0,45,0,2,1
"87",86,0,45,0,2,1
"88",87,0,45,0,2,1
"89",88,0,45,0,2,1
"90",89,0,45,0,2,1
"91",90,0,45,0,2,1
"92",91,0,45,0,2,1
"93",92,0,45,0,2,1
"94",93,0,45,0,2,1
"95",94,0,45,0,2,1
"96",95,0,45,0,2,1
"97",96,0,45,0,2,1
"98",97,0,45,0,2,1
"99",98,0,45,0,2,1
"100",99,0,45,0,2,1
"101",100,0,45,0,2,1
