"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,1,0,0.218205186436176,199,1
"3",2,1,0,0.218205186436176,199,1
"4",3,1,0,0.218205186436176,199,1
"5",4,3,0,0.654615559308529,197,1
"6",5,4,0,0.872820745744706,196,1
"7",6,5,0,1.09102593218088,195,1
"8",7,11,0,2.40025705079794,189,1
"9",8,15,0,3.27307779654265,185,1
"10",9,19,0,4.14589854228735,181,1
"11",10,27,0,5.89154003377676,172,1
"12",11,39,0,8.51000227101087,160,1
"13",12,55,0,12.0012852539897,144,1
"14",13,72,0,15.7107734234047,126,1
"15",14,88,0,19.2020564063835,109,1
"16",15,102,0,22.25692901649,94,1
"17",16,118,0,25.7482119994688,78,1
"18",17,138,0,30.1123157281923,52,1
"19",18,144,1,31.4215468468094,41,1
"20",19,152,1,33.1671883382988,30,1
"21",20,150,1,32.7307779654264,25,1
"22",21,147,1,32.0761624061179,20,1
"23",22,137,1,29.8941105417561,17,1
"24",23,127,2,27.7120586773944,13,1
"25",24,114,4,24.8753912537241,11,1
"26",25,99,8,21.6023134571814,9,1
"27",26,88,11,19.2020564063835,6,1
"28",27,60,16,13.0923111861706,6,1
"29",28,49,20,10.6920541353726,6,1
"30",29,41,22,8.94641264388323,5,1
"31",30,32,27,6.98256596595764,5,1
"32",31,25,30,5.45512966090441,5,1
"33",32,18,34,3.92769335585118,5,1
"34",33,12,38,2.61846223723412,4,1
"35",34,9,39,1.96384667792559,4,1
"36",35,7,40,1.52743630505323,4,1
"37",36,4,40,0.872820745744706,4,1
"38",37,3,41,0.654615559308529,4,1
"39",38,3,41,0.654615559308529,4,1
"40",39,1,42,0.218205186436176,4,1
"41",40,1,42,0.218205186436176,4,1
"42",41,1,42,0.218205186436176,4,1
"43",42,1,42,0.218205186436176,4,1
"44",43,0,42,0,4,1
"45",44,0,42,0,4,1
"46",45,0,42,0,4,1
"47",46,0,42,0,4,1
"48",47,0,42,0,4,1
"49",48,0,42,0,4,1
"50",49,0,42,0,4,1
"51",50,0,42,0,4,1
"52",51,0,42,0,4,1
"53",52,0,42,0,4,1
"54",53,0,42,0,4,1
"55",54,0,42,0,4,1
"56",55,0,42,0,4,1
"57",56,0,42,0,4,1
"58",57,0,42,0,4,1
"59",58,0,42,0,4,1
"60",59,0,42,0,4,1
"61",60,0,42,0,4,1
"62",61,0,42,0,4,1
"63",62,0,42,0,4,1
"64",63,0,42,0,4,1
"65",64,0,42,0,4,1
"66",65,0,42,0,4,1
"67",66,0,42,0,4,1
"68",67,0,42,0,4,1
"69",68,0,42,0,4,1
"70",69,0,42,0,4,1
"71",70,0,42,0,4,1
"72",71,0,42,0,4,1
"73",72,0,42,0,4,1
"74",73,0,42,0,4,1
"75",74,0,42,0,4,1
"76",75,0,42,0,4,1
"77",76,0,42,0,4,1
"78",77,0,42,0,4,1
"79",78,0,42,0,4,1
"80",79,0,42,0,4,1
"81",80,0,42,0,4,1
"82",81,0,42,0,4,1
"83",82,0,42,0,4,1
"84",83,0,42,0,4,1
"85",84,0,42,0,4,1
"86",85,0,42,0,4,1
"87",86,0,42,0,4,1
"88",87,0,42,0,4,1
"89",88,0,42,0,4,1
"90",89,0,42,0,4,1
"91",90,0,42,0,4,1
"92",91,0,42,0,4,1
"93",92,0,42,0,4,1
"94",93,0,42,0,4,1
"95",94,0,42,0,4,1
"96",95,0,42,0,4,1
"97",96,0,42,0,4,1
"98",97,0,42,0,4,1
"99",98,0,42,0,4,1
"100",99,0,42,0,4,1
"101",100,0,42,0,4,1
