"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,1,0,0.218205186436176,199,1
"3",2,2,0,0.436410372872353,198,1
"4",3,4,0,0.872820745744706,196,1
"5",4,6,0,1.30923111861706,194,1
"6",5,7,0,1.52743630505323,193,1
"7",6,9,0,1.96384667792559,191,1
"8",7,17,0,3.709488169415,183,1
"9",8,23,0,5.01871928803206,177,1
"10",9,32,0,6.98256596595764,168,1
"11",10,51,0,11.128464508245,148,1
"12",11,63,0,13.7469267454791,135,1
"13",12,84,0,18.3292356606388,114,1
"14",13,93,0,20.2930823385644,105,1
"15",14,111,0,24.2207756944156,86,1
"16",15,129,0,28.1484690502667,67,1
"17",16,143,0,31.2033416603732,52,1
"18",17,148,3,32.2943675925541,33,1
"19",18,151,3,32.9489831518626,24,1
"20",19,138,4,30.1123157281923,20,1
"21",20,129,7,28.1484690502667,17,1
"22",21,118,7,25.7482119994688,13,1
"23",22,111,10,24.2207756944156,9,1
"24",23,91,14,19.856671965692,8,1
"25",24,73,18,15.9289786098409,6,1
"26",25,56,24,12.2194904404259,5,1
"27",26,37,25,8.07359189813852,5,1
"28",27,30,27,6.54615559308529,4,1
"29",28,25,30,5.45512966090441,3,1
"30",29,19,33,4.14589854228735,3,1
"31",30,17,34,3.709488169415,3,1
"32",31,11,37,2.40025705079794,3,1
"33",32,10,38,2.18205186436176,2,1
"34",33,9,38,1.96384667792559,2,1
"35",34,6,41,1.30923111861706,2,1
"36",35,5,42,1.09102593218088,2,1
"37",36,4,42,0.872820745744706,2,1
"38",37,2,43,0.436410372872353,2,1
"39",38,1,44,0.218205186436176,2,1
"40",39,1,44,0.218205186436176,2,1
"41",40,1,44,0.218205186436176,2,1
"42",41,0,44,0,2,1
"43",42,0,44,0,2,1
"44",43,0,44,0,2,1
"45",44,0,44,0,2,1
"46",45,0,44,0,2,1
"47",46,0,44,0,2,1
"48",47,0,44,0,2,1
"49",48,0,44,0,2,1
"50",49,0,44,0,2,1
"51",50,0,44,0,2,1
"52",51,0,44,0,2,1
"53",52,0,44,0,2,1
"54",53,0,44,0,2,1
"55",54,0,44,0,2,1
"56",55,0,44,0,2,1
"57",56,0,44,0,2,1
"58",57,0,44,0,2,1
"59",58,0,44,0,2,1
"60",59,0,44,0,2,1
"61",60,0,44,0,2,1
"62",61,0,44,0,2,1
"63",62,0,44,0,2,1
"64",63,0,44,0,2,1
"65",64,0,44,0,2,1
"66",65,0,44,0,2,1
"67",66,0,44,0,2,1
"68",67,0,44,0,2,1
"69",68,0,44,0,2,1
"70",69,0,44,0,2,1
"71",70,0,44,0,2,1
"72",71,0,44,0,2,1
"73",72,0,44,0,2,1
"74",73,0,44,0,2,1
"75",74,0,44,0,2,1
"76",75,0,44,0,2,1
"77",76,0,44,0,2,1
"78",77,0,44,0,2,1
"79",78,0,44,0,2,1
"80",79,0,44,0,2,1
"81",80,0,44,0,2,1
"82",81,0,44,0,2,1
"83",82,0,44,0,2,1
"84",83,0,44,0,2,1
"85",84,0,44,0,2,1
"86",85,0,44,0,2,1
"87",86,0,44,0,2,1
"88",87,0,44,0,2,1
"89",88,0,44,0,2,1
"90",89,0,44,0,2,1
"91",90,0,44,0,2,1
"92",91,0,44,0,2,1
"93",92,0,44,0,2,1
"94",93,0,44,0,2,1
"95",94,0,44,0,2,1
"96",95,0,44,0,2,1
"97",96,0,44,0,2,1
"98",97,0,44,0,2,1
"99",98,0,44,0,2,1
"100",99,0,44,0,2,1
"101",100,0,44,0,2,1
