"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,3,0,0.654615559308529,197,1
"3",2,3,0,0.654615559308529,197,1
"4",3,5,0,1.09102593218088,195,1
"5",4,6,0,1.30923111861706,194,1
"6",5,6,0,1.30923111861706,194,1
"7",6,11,0,2.40025705079794,189,1
"8",7,15,0,3.27307779654265,185,1
"9",8,22,0,4.80051410159588,178,1
"10",9,29,0,6.32795040664911,171,1
"11",10,38,0,8.2917970845747,162,1
"12",11,55,0,12.0012852539897,143,1
"13",12,78,0,17.0200045420217,120,1
"14",13,101,0,22.0387238300538,96,1
"15",14,119,0,25.966417185905,78,1
"16",15,138,1,30.1123157281923,58,1
"17",16,146,1,31.8579572196817,45,1
"18",17,157,2,34.2582142704797,29,1
"19",18,156,3,34.0400090840435,24,1
"20",19,149,3,32.5125727789902,17,1
"21",20,135,3,29.4577001688838,14,1
"22",21,115,5,25.0935964401603,12,1
"23",22,93,5,20.2930823385644,12,1
"24",23,77,7,16.8017993555856,9,1
"25",24,61,9,13.3105163726067,6,1
"26",25,48,12,10.4738489489365,6,1
"27",26,34,14,7.41897633882999,5,1
"28",27,28,15,6.10974522021294,5,1
"29",28,21,18,4.5823089151597,5,1
"30",29,16,21,3.49128298297882,4,1
"31",30,12,24,2.61846223723412,4,1
"32",31,13,24,2.83666742367029,3,1
"33",32,7,27,1.52743630505323,3,1
"34",33,7,27,1.52743630505323,2,1
"35",34,6,28,1.30923111861706,2,1
"36",35,5,28,1.09102593218088,2,1
"37",36,5,28,1.09102593218088,2,1
"38",37,3,30,0.654615559308529,2,1
"39",38,2,30,0.436410372872353,2,1
"40",39,2,30,0.436410372872353,2,1
"41",40,1,30,0.218205186436176,2,1
"42",41,1,30,0.218205186436176,2,1
"43",42,0,30,0,2,1
"44",43,0,30,0,2,1
"45",44,0,30,0,2,1
"46",45,0,30,0,2,1
"47",46,0,30,0,2,1
"48",47,0,30,0,2,1
"49",48,0,30,0,2,1
"50",49,0,30,0,2,1
"51",50,0,30,0,2,1
"52",51,0,30,0,2,1
"53",52,0,30,0,2,1
"54",53,0,30,0,2,1
"55",54,0,30,0,2,1
"56",55,0,30,0,2,1
"57",56,0,30,0,2,1
"58",57,0,30,0,2,1
"59",58,0,30,0,2,1
"60",59,0,30,0,2,1
"61",60,0,30,0,2,1
"62",61,0,30,0,2,1
"63",62,0,30,0,2,1
"64",63,0,30,0,2,1
"65",64,0,30,0,2,1
"66",65,0,30,0,2,1
"67",66,0,30,0,2,1
"68",67,0,30,0,2,1
"69",68,0,30,0,2,1
"70",69,0,30,0,2,1
"71",70,0,30,0,2,1
"72",71,0,30,0,2,1
"73",72,0,30,0,2,1
"74",73,0,30,0,2,1
"75",74,0,30,0,2,1
"76",75,0,30,0,2,1
"77",76,0,30,0,2,1
"78",77,0,30,0,2,1
"79",78,0,30,0,2,1
"80",79,0,30,0,2,1
"81",80,0,30,0,2,1
"82",81,0,30,0,2,1
"83",82,0,30,0,2,1
"84",83,0,30,0,2,1
"85",84,0,30,0,2,1
"86",85,0,30,0,2,1
"87",86,0,30,0,2,1
"88",87,0,30,0,2,1
"89",88,0,30,0,2,1
"90",89,0,30,0,2,1
"91",90,0,30,0,2,1
"92",91,0,30,0,2,1
"93",92,0,30,0,2,1
"94",93,0,30,0,2,1
"95",94,0,30,0,2,1
"96",95,0,30,0,2,1
"97",96,0,30,0,2,1
"98",97,0,30,0,2,1
"99",98,0,30,0,2,1
"100",99,0,30,0,2,1
"101",100,0,30,0,2,1
