"","time","infected","dead","critically_infected","susceptible","virus_type"
"1",0,1,0,0.218205186436176,199,1
"2",1,1,0,0.218205186436176,199,1
"3",2,1,0,0.218205186436176,199,1
"4",3,1,0,0.218205186436176,199,1
"5",4,2,0,0.436410372872353,198,1
"6",5,3,0,0.654615559308529,197,1
"7",6,3,0,0.654615559308529,197,1
"8",7,6,0,1.30923111861706,194,1
"9",8,8,0,1.74564149148941,192,1
"10",9,11,0,2.40025705079794,189,1
"11",10,13,0,2.83666742367029,186,1
"12",11,21,0,4.5823089151597,178,1
"13",12,35,0,7.63718152526617,164,1
"14",13,51,0,11.128464508245,148,1
"15",14,65,0,14.1833371183515,132,1
"16",15,77,0,16.8017993555856,120,1
"17",16,93,0,20.2930823385644,101,1
"18",17,118,0,25.7482119994688,75,1
"19",18,135,0,29.4577001688838,56,1
"20",19,141,0,30.7669312875008,47,1
"21",20,144,0,31.4215468468094,37,1
"22",21,140,1,30.5487261010647,28,1
"23",22,134,2,29.2394949824476,22,1
"24",23,124,2,27.0574431180858,18,1
"25",24,118,3,25.7482119994688,12,1
"26",25,104,5,22.6933393893623,9,1
"27",26,79,10,17.2382097284579,6,1
"28",27,60,12,13.0923111861706,5,1
"29",28,55,13,12.0012852539897,4,1
"30",29,42,17,9.1646178303194,4,1
"31",30,33,20,7.20077115239382,2,1
"32",31,27,21,5.89154003377676,2,1
"33",32,20,25,4.36410372872353,2,1
"34",33,17,26,3.709488169415,2,1
"35",34,14,27,3.05487261010647,2,1
"36",35,11,28,2.40025705079794,2,1
"37",36,9,29,1.96384667792559,2,1
"38",37,4,33,0.872820745744706,2,1
"39",38,3,34,0.654615559308529,2,1
"40",39,0,35,0,2,1
"41",40,0,35,0,2,1
"42",41,0,35,0,2,1
"43",42,0,35,0,2,1
"44",43,0,35,0,2,1
"45",44,0,35,0,2,1
"46",45,0,35,0,2,1
"47",46,0,35,0,2,1
"48",47,0,35,0,2,1
"49",48,0,35,0,2,1
"50",49,0,35,0,2,1
"51",50,0,35,0,2,1
"52",51,0,35,0,2,1
"53",52,0,35,0,2,1
"54",53,0,35,0,2,1
"55",54,0,35,0,2,1
"56",55,0,35,0,2,1
"57",56,0,35,0,2,1
"58",57,0,35,0,2,1
"59",58,0,35,0,2,1
"60",59,0,35,0,2,1
"61",60,0,35,0,2,1
"62",61,0,35,0,2,1
"63",62,0,35,0,2,1
"64",63,0,35,0,2,1
"65",64,0,35,0,2,1
"66",65,0,35,0,2,1
"67",66,0,35,0,2,1
"68",67,0,35,0,2,1
"69",68,0,35,0,2,1
"70",69,0,35,0,2,1
"71",70,0,35,0,2,1
"72",71,0,35,0,2,1
"73",72,0,35,0,2,1
"74",73,0,35,0,2,1
"75",74,0,35,0,2,1
"76",75,0,35,0,2,1
"77",76,0,35,0,2,1
"78",77,0,35,0,2,1
"79",78,0,35,0,2,1
"80",79,0,35,0,2,1
"81",80,0,35,0,2,1
"82",81,0,35,0,2,1
"83",82,0,35,0,2,1
"84",83,0,35,0,2,1
"85",84,0,35,0,2,1
"86",85,0,35,0,2,1
"87",86,0,35,0,2,1
"88",87,0,35,0,2,1
"89",88,0,35,0,2,1
"90",89,0,35,0,2,1
"91",90,0,35,0,2,1
"92",91,0,35,0,2,1
"93",92,0,35,0,2,1
"94",93,0,35,0,2,1
"95",94,0,35,0,2,1
"96",95,0,35,0,2,1
"97",96,0,35,0,2,1
"98",97,0,35,0,2,1
"99",98,0,35,0,2,1
"100",99,0,35,0,2,1
"101",100,0,35,0,2,1
