time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,1,99,1,1,0
2.0,1,99,1,1,0
3.0,3,97,3,1,0
4.0,5,95,5,1,0
5.0,7,93,7,2,0
6.0,8,92,8,2,0
7.0,9,91,9,2,0
8.0,10,90,10,2,0
9.0,13,87,13,3,0
10.0,14,85,14,2,1
11.0,15,84,15,3,1
12.0,16,83,16,3,1
13.0,16,81,16,3,1
14.0,17,78,17,4,1
15.0,19,74,19,4,2
16.0,21,71,21,6,2
17.0,23,68,23,7,2
18.0,34,56,34,9,2
19.0,32,55,32,9,3
20.0,35,50,35,9,3
21.0,39,45,39,8,4
22.0,44,39,44,9,4
23.0,50,31,50,10,4
24.0,52,26,52,11,5
