time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,3,97,3,2,0
2.0,3,97,3,2,0
3.0,3,97,3,2,0
4.0,7,93,7,2,0
5.0,8,92,8,3,0
6.0,12,88,12,6,0
7.0,20,80,20,7,0
8.0,22,78,22,7,0
9.0,27,73,27,7,0
10.0,27,72,27,8,0
11.0,29,68,29,7,2
12.0,31,66,31,7,2
13.0,34,63,34,7,2
14.0,34,59,34,7,2
15.0,34,58,34,6,3
16.0,31,57,31,3,6
17.0,23,57,23,2,7
18.0,21,57,21,2,7
19.0,16,57,16,2,7
20.0,16,56,16,1,8
21.0,12,56,12,0,9
22.0,10,56,10,0,9
23.0,7,56,7,0,9
24.0,3,56,3,0,9
