time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,989,1,0,0
2.0,2,988,2,0,0
3.0,2,988,2,0,0
4.0,2,988,2,0,0
5.0,2,988,2,0,0
6.0,2,988,2,0,0
7.0,3,987,3,0,0
8.0,3,987,3,0,0
9.0,3,987,3,0,0
10.0,2,987,2,0,0
11.0,2,987,2,0,0
12.0,1,987,1,0,0
13.0,1,987,1,0,0
14.0,1,987,1,0,0
15.0,2,986,2,0,0
16.0,3,985,3,0,0
17.0,2,985,2,0,0
18.0,2,985,2,0,0
19.0,2,985,2,0,0
20.0,3,984,3,0,0
21.0,3,984,3,0,0
22.0,5,982,5,0,0
23.0,7,980,7,0,0
24.0,8,979,8,0,0
25.0,10,976,10,2,0
26.0,10,975,10,3,0
27.0,12,973,12,3,0
28.0,15,970,15,4,0
29.0,19,966,19,4,0
30.0,25,959,25,6,0
31.0,30,954,30,8,0
32.0,33,949,33,9,0
33.0,43,937,43,12,0
34.0,59,920,59,15,0
35.0,83,895,83,21,0
36.0,110,868,110,27,0
37.0,149,827,149,30,0
38.0,186,788,186,37,0
39.0,223,745,223,40,2
40.0,275,687,275,47,3
41.0,326,633,326,51,3
42.0,393,561,393,59,4
43.0,442,503,442,69,4
44.0,478,451,478,71,6
45.0,508,400,508,74,8
46.0,532,354,532,81,9
47.0,526,319,526,83,12
48.0,521,289,521,83,15
49.0,502,264,502,81,21
50.0,476,234,476,79,27
51.0,445,212,445,78,30
52.0,397,190,397,72,37
53.0,357,177,357,68,42
54.0,315,163,315,60,50
55.0,277,151,277,58,54
56.0,238,143,238,50,63
57.0,205,136,205,40,73
58.0,179,131,179,37,77
59.0,156,128,156,33,82
60.0,124,126,124,25,90
61.0,104,121,104,20,95
62.0,82,119,82,17,98
63.0,66,119,66,13,102
64.0,48,119,48,9,106
65.0,37,118,37,7,108
66.0,29,118,29,6,109
67.0,23,116,23,6,110
68.0,19,116,19,6,110
69.0,16,115,16,4,112
70.0,13,115,13,3,113
71.0,8,115,8,3,113
72.0,5,115,5,2,114
73.0,4,115,4,1,115
74.0,4,115,4,1,115
75.0,3,115,3,1,115
76.0,3,115,3,1,115
77.0,2,115,2,1,115
78.0,2,115,2,1,115
79.0,1,115,1,1,115
80.0,1,115,1,1,115
81.0,0,115,0,0,116
82.0,0,115,0,0,116
83.0,0,115,0,0,116
84.0,0,115,0,0,116
85.0,0,115,0,0,116
86.0,0,115,0,0,116
87.0,0,115,0,0,116
88.0,0,115,0,0,116
89.0,0,115,0,0,116
90.0,0,115,0,0,116
91.0,0,115,0,0,116
92.0,0,115,0,0,116
93.0,0,115,0,0,116
94.0,0,115,0,0,116
95.0,0,115,0,0,116
96.0,0,115,0,0,116
97.0,0,115,0,0,116
98.0,0,115,0,0,116
99.0,0,115,0,0,116
100.0,0,115,0,0,116
