time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,998,2,0,0
2.0,2,998,2,0,0
3.0,7,993,7,0,0
4.0,8,992,8,0,0
5.0,14,986,14,1,0
6.0,20,980,20,1,0
7.0,35,965,35,4,0
8.0,49,951,49,6,0
9.0,68,932,68,10,0
10.0,84,915,84,12,0
11.0,104,894,104,16,0
12.0,134,864,134,20,0
13.0,169,824,169,24,0
14.0,204,788,204,28,0
15.0,242,745,242,33,0
16.0,267,714,267,35,0
17.0,298,671,298,42,0
18.0,335,622,335,45,0
19.0,354,587,354,46,1
20.0,381,545,381,49,1
21.0,386,520,386,48,4
22.0,394,484,394,50,6
23.0,371,467,371,47,10
24.0,363,441,363,48,12
25.0,349,413,349,46,16
26.0,333,396,333,43,20
27.0,316,373,316,40,24
28.0,280,359,280,39,28
29.0,252,349,252,34,33
30.0,224,336,224,33,35
31.0,209,321,209,26,42
32.0,185,310,185,24,45
33.0,170,307,170,23,47
34.0,152,299,152,20,50
35.0,133,290,133,19,52
36.0,117,286,117,16,56
37.0,99,281,99,15,57
38.0,90,276,90,13,60
39.0,79,275,79,11,62
40.0,67,274,67,10,63
41.0,53,272,53,9,64
42.0,44,268,44,7,67
43.0,42,268,42,7,67
44.0,35,266,35,6,68
45.0,27,266,27,6,68
46.0,26,263,26,5,69
47.0,22,261,22,5,70
48.0,19,260,19,5,70
49.0,17,260,17,4,71
50.0,16,259,16,3,72
51.0,15,258,15,3,72
52.0,11,258,11,2,73
53.0,11,258,11,2,73
54.0,9,258,9,2,73
55.0,9,258,9,2,73
56.0,5,258,5,1,74
57.0,4,258,4,1,74
58.0,3,258,3,1,74
59.0,3,258,3,1,74
60.0,2,258,2,1,74
61.0,0,258,0,0,75
62.0,0,258,0,0,75
63.0,1,257,1,0,75
64.0,1,257,1,0,75
65.0,1,257,1,0,75
66.0,1,257,1,0,75
67.0,1,257,1,0,75
68.0,1,257,1,0,75
69.0,1,257,1,0,75
70.0,1,257,1,0,75
71.0,1,257,1,0,75
72.0,1,257,1,0,75
73.0,0,257,0,0,75
74.0,0,257,0,0,75
75.0,0,257,0,0,75
76.0,0,257,0,0,75
77.0,0,257,0,0,75
78.0,0,257,0,0,75
79.0,0,257,0,0,75
80.0,0,257,0,0,75
81.0,0,257,0,0,75
82.0,0,257,0,0,75
83.0,0,257,0,0,75
84.0,0,257,0,0,75
85.0,0,257,0,0,75
86.0,0,257,0,0,75
87.0,0,257,0,0,75
88.0,0,257,0,0,75
89.0,0,257,0,0,75
90.0,0,257,0,0,75
91.0,0,257,0,0,75
92.0,0,257,0,0,75
93.0,0,257,0,0,75
94.0,0,257,0,0,75
95.0,0,257,0,0,75
96.0,0,257,0,0,75
97.0,0,257,0,0,75
98.0,0,257,0,0,75
99.0,0,257,0,0,75
100.0,0,257,0,0,75
