time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3,1,999,1,0,0
4.0,2,998,2,1,0
5.0,3,997,3,1,0
6.0,4,996,4,1,0
7.0,6,994,6,1,0
8.0,8,992,8,1,0
9.0,13,987,13,2,0
10.0,23,976,23,4,0
11.0,34,965,34,5,0
12.0,45,954,45,7,0
13.0,61,938,61,9,0
14.0,85,914,85,15,0
15.0,119,879,119,23,0
16.0,151,846,151,28,0
17.0,186,809,186,36,0
18.0,226,766,226,41,1
19.0,271,717,271,51,1
20.0,301,678,301,60,1
21.0,331,638,331,67,1
22.0,366,594,366,72,1
23.0,398,547,398,80,2
24.0,415,510,415,81,4
25.0,411,486,411,83,5
26.0,418,449,418,86,7
27.0,404,432,404,87,9
28.0,382,411,382,83,15
29.0,359,387,359,78,23
30.0,347,364,347,75,28
31.0,322,348,322,69,36
32.0,288,337,288,64,42
33.0,245,332,245,54,52
34.0,214,320,214,46,61
35.0,193,313,193,39,68
36.0,166,303,166,37,73
37.0,149,297,149,29,82
38.0,132,292,132,26,85
39.0,109,291,109,24,88
40.0,86,288,86,19,93
41.0,73,284,73,16,96
42.0,65,280,65,14,98
43.0,58,279,58,11,101
44.0,45,279,45,9,103
45.0,36,279,36,7,105
46.0,29,278,29,6,106
47.0,24,278,24,6,106
48.0,18,278,18,5,107
49.0,19,277,19,5,107
50.0,13,277,13,2,110
51.0,9,276,9,1,111
52.0,5,276,5,1,111
53.0,3,276,3,0,112
54.0,3,276,3,0,112
55.0,3,276,3,0,112
56.0,2,276,2,0,112
57.0,2,276,2,0,112
58.0,2,276,2,0,112
59.0,2,275,2,0,112
60.0,2,275,2,0,112
61.0,1,275,1,0,112
62.0,1,275,1,0,112
63.0,1,275,1,0,112
64.0,2,274,2,0,112
65.0,2,274,2,0,112
66.0,2,274,2,0,112
67.0,2,274,2,0,112
68.0,2,274,2,0,112
69.0,1,274,1,0,112
70.0,1,274,1,0,112
71.0,1,274,1,0,112
72.0,1,274,1,0,112
73.0,1,274,1,0,112
74.0,0,274,0,0,112
75.0,0,274,0,0,112
76.0,0,274,0,0,112
77.0,0,274,0,0,112
78.0,0,274,0,0,112
79.0,0,274,0,0,112
80.0,0,274,0,0,112
81.0,0,274,0,0,112
82.0,0,274,0,0,112
83.0,2,272,2,0,112
84.0,2,272,2,0,112
85.0,2,272,2,0,112
86.0,2,272,2,0,112
87.0,2,272,2,0,112
88.0,2,272,2,0,112
89.0,2,272,2,0,112
90.0,2,272,2,0,112
91.0,2,272,2,0,112
92.0,2,272,2,0,112
93.0,0,272,0,0,112
94.0,0,272,0,0,112
95.0,0,272,0,0,112
96.0,1,272,1,0,112
97.0,1,272,1,0,112
98.0,1,272,1,0,112
99.0,1,272,1,0,112
100.0,1,272,1,0,112
