time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3,1,999,1,0,0
4,1,999,1,0,0
5,1,999,1,0,0
6.0,2,998,2,0,0
7.0,4,996,4,1,0
8.0,5,995,5,1,0
9.0,6,994,6,2,0
10.0,6,993,6,2,0
11.0,6,993,6,2,0
12.0,7,992,7,2,0
13.0,11,988,11,3,0
14.0,14,985,14,3,0
15.0,16,983,16,3,0
16.0,17,981,17,3,0
17.0,17,980,17,3,0
18.0,19,977,19,3,0
19.0,24,972,24,5,0
20.0,24,971,24,6,0
21.0,30,964,30,7,1
22.0,42,951,42,11,1
23.0,46,943,46,11,2
24.0,51,935,51,11,2
25.0,65,919,65,13,2
26.0,79,903,79,18,2
27.0,90,890,90,18,3
28.0,102,875,102,20,3
29.0,119,855,119,25,3
30.0,143,831,143,30,3
31.0,170,799,170,42,3
32.0,169,791,169,44,3
33.0,179,772,179,46,5
34.0,195,747,195,50,6
35.0,196,730,196,51,8
36.0,205,706,205,52,12
37.0,219,679,219,55,13
38.0,220,665,220,59,13
39.0,224,644,224,60,15
40.0,216,628,216,57,20
41.0,217,606,217,60,21
42.0,228,587,228,59,23
43.0,220,575,220,55,28
44.0,212,558,212,55,33
45.0,199,545,199,44,45
46.0,189,534,189,45,47
47.0,173,523,173,43,51
48.0,169,512,169,42,56
49.0,150,510,150,39,59
50.0,143,498,143,34,64
51.0,129,490,129,31,68
52.0,109,488,109,27,72
53.0,102,481,102,24,75
54.0,93,476,93,23,77
55.0,83,470,83,22,81
56.0,76,468,76,21,82
57.0,70,464,70,21,83
58.0,62,460,62,16,88
59.0,62,457,62,16,89
60.0,52,452,52,14,92
61.0,45,450,45,12,94
62.0,43,446,43,8,98
63.0,37,445,37,8,98
64.0,33,445,33,8,98
65.0,30,444,30,8,99
66.0,31,441,31,10,99
67.0,31,438,31,11,99
68.0,26,438,26,10,100
69.0,21,438,21,7,103
70.0,18,437,18,7,103
71.0,17,435,17,8,104
72.0,14,434,14,8,104
73.0,12,434,12,7,105
74.0,11,434,11,6,106
75.0,12,433,12,7,106
76.0,11,433,11,7,106
77.0,10,432,10,7,106
78.0,11,431,11,7,106
79.0,10,431,10,6,107
80.0,7,431,7,4,109
81.0,7,430,7,3,110
82.0,7,429,7,3,110
83.0,8,428,8,4,110
84.0,9,427,9,4,110
85.0,9,425,9,3,112
86.0,9,425,9,3,112
87.0,8,425,8,3,112
88.0,8,424,8,3,112
89.0,7,424,7,2,113
90.0,7,424,7,2,113
91.0,7,423,7,2,113
92.0,7,422,7,2,113
93.0,7,422,7,2,113
94.0,6,422,6,2,113
95.0,6,421,6,2,113
96.0,6,421,6,2,113
97.0,5,421,5,1,114
98.0,4,421,4,1,114
99.0,3,421,3,0,115
100.0,3,421,3,0,115
