time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3.0,2,998,2,0,0
4.0,2,998,2,0,0
5.0,2,998,2,0,0
6.0,2,998,2,0,0
7.0,2,998,2,0,0
8.0,4,996,4,0,0
9.0,6,994,6,1,0
10.0,7,992,7,2,0
11.0,7,992,7,2,0
12.0,8,991,8,2,0
13.0,7,991,7,2,0
14.0,13,985,13,3,0
15.0,14,984,14,3,0
16.0,18,980,18,3,0
17.0,21,977,21,3,0
18.0,24,972,24,3,0
19.0,30,965,30,4,0
20.0,33,961,33,4,0
21.0,49,945,49,6,0
22.0,64,929,64,8,0
23.0,74,918,74,8,1
24.0,87,899,87,9,2
25.0,102,883,102,10,2
26.0,114,867,114,11,2
27.0,123,855,123,11,2
28.0,143,829,143,11,3
29.0,154,812,154,11,3
30.0,168,794,168,11,3
31.0,167,781,167,12,3
32.0,176,758,176,12,3
33.0,198,725,198,12,4
34.0,207,699,207,13,4
35.0,207,682,207,13,6
36.0,211,661,211,15,8
37.0,212,647,212,16,9
38.0,196,636,196,14,11
39.0,193,621,193,14,12
40.0,194,601,194,13,13
41.0,190,593,190,13,13
42.0,183,576,183,13,14
43.0,161,566,161,13,14
44.0,148,554,148,16,14
45.0,141,545,141,17,15
46.0,138,531,138,17,15
47.0,132,524,132,18,16
48.0,130,514,130,17,17
49.0,121,507,121,15,19
50.0,103,501,103,11,23
51.0,96,498,96,9,25
52.0,90,488,90,12,25
53.0,87,480,87,12,26
54.0,83,475,83,12,26
55.0,77,474,77,12,26
56.0,63,473,63,11,27
57.0,60,471,60,11,27
58.0,49,469,49,8,30
59.0,40,469,40,6,32
60.0,36,467,36,6,32
61.0,36,462,36,4,34
62.0,30,461,30,4,34
63.0,23,461,23,4,34
64.0,18,461,18,4,34
65.0,17,461,17,4,34
66.0,14,460,14,1,37
67.0,11,460,11,0,38
68.0,10,459,10,0,38
69.0,10,459,10,0,38
70.0,8,459,8,0,38
71.0,4,458,4,0,38
72.0,5,456,5,0,38
73.0,7,454,7,1,38
74.0,7,454,7,1,38
75.0,7,454,7,1,38
76.0,6,454,6,1,38
77.0,6,454,6,1,38
78.0,5,454,5,1,38
79.0,5,454,5,1,38
80.0,5,454,5,1,38
81.0,5,453,5,1,38
82.0,4,452,4,1,38
83.0,3,452,3,1,38
84.0,4,451,4,1,38
85.0,4,451,4,1,38
86.0,4,451,4,1,38
87.0,3,451,3,0,39
88.0,3,451,3,0,39
89.0,3,451,3,0,39
90.0,3,451,3,0,39
91.0,2,451,2,0,39
92.0,1,451,1,0,39
93.0,1,451,1,0,39
94.0,0,451,0,0,39
95.0,0,451,0,0,39
96.0,0,451,0,0,39
97.0,0,451,0,0,39
98.0,1,450,1,0,39
99.0,1,450,1,0,39
100.0,1,450,1,0,39
