time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,1,0
2.0,2,998,2,1,0
3.0,4,996,4,1,0
4.0,9,991,9,1,0
5.0,13,987,13,1,0
6.0,17,983,17,3,0
7.0,22,978,22,3,0
8.0,27,973,27,5,0
9.0,37,963,37,6,0
10.0,45,955,45,8,0
11.0,58,942,58,9,0
12.0,72,927,72,9,0
13.0,83,914,83,11,0
14.0,91,900,91,11,1
15.0,99,888,99,11,1
16.0,109,876,109,12,1
17.0,117,863,117,12,1
18.0,136,841,136,14,1
19.0,147,821,147,15,1
20.0,153,807,153,14,3
21.0,166,782,166,16,3
22.0,167,764,167,19,5
23.0,174,745,174,19,6
24.0,174,730,174,19,8
25.0,173,718,173,19,9
26.0,173,707,173,21,9
27.0,181,684,181,22,11
28.0,170,674,170,22,12
29.0,163,662,163,22,12
30.0,163,648,163,24,13
31.0,148,640,148,25,13
32.0,145,628,145,25,15
33.0,128,626,128,24,16
34.0,120,620,120,23,17
35.0,116,611,116,21,19
36.0,111,602,111,16,24
37.0,97,595,97,17,25
38.0,94,587,94,16,27
39.0,87,581,87,16,28
40.0,78,577,78,14,30
41.0,72,573,72,11,33
42.0,65,569,65,12,34
43.0,67,565,67,12,34
44.0,61,562,61,9,37
45.0,53,560,53,8,38
46.0,45,557,45,7,40
47.0,41,556,41,7,40
48.0,37,553,37,7,40
49.0,34,551,34,8,40
50.0,30,551,30,8,40
51.0,25,550,25,6,42
52.0,24,548,24,6,43
53.0,20,547,20,5,44
54.0,19,545,19,6,44
55.0,18,544,18,6,44
56.0,14,544,14,4,46
57.0,13,544,13,4,46
58.0,13,541,13,4,46
59.0,13,540,13,4,46
60.0,12,540,12,3,47
61.0,11,540,11,3,47
62.0,11,539,11,3,47
63.0,9,539,9,2,48
64.0,10,537,10,2,48
65.0,12,534,12,2,48
66.0,13,532,13,1,49
67.0,13,532,13,1,49
68.0,9,532,9,0,50
69.0,12,528,12,1,50
70.0,12,528,12,1,50
71.0,12,528,12,1,50
72.0,11,528,11,1,50
73.0,11,528,11,1,50
74.0,11,526,11,1,50
75.0,9,525,9,1,50
76.0,7,525,7,1,50
77.0,8,524,8,1,50
78.0,8,524,8,1,50
79.0,5,524,5,1,50
80.0,5,524,5,1,50
81.0,5,524,5,1,50
82.0,5,524,5,1,50
83.0,4,524,4,0,51
84.0,3,523,3,1,51
85.0,2,523,2,1,51
86.0,2,523,2,1,51
87.0,2,522,2,1,51
88.0,2,522,2,1,51
89.0,2,522,2,1,51
90.0,2,522,2,1,51
91.0,2,522,2,1,51
92.0,2,522,2,1,51
93.0,2,522,2,1,51
94.0,2,522,2,1,51
95.0,2,522,2,1,51
96.0,2,522,2,1,51
97.0,1,522,1,1,51
98.0,0,522,0,0,52
99.0,0,522,0,0,52
100.0,0,522,0,0,52
