time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2.0,2,998,2,0,0
3.0,2,998,2,0,0
4.0,3,997,3,0,0
5.0,5,995,5,0,0
6.0,5,995,5,0,0
7.0,5,995,5,0,0
8.0,5,995,5,0,0
9.0,5,995,5,0,0
10.0,5,994,5,1,0
11.0,6,993,6,1,0
12.0,5,993,5,1,0
13.0,5,993,5,1,0
14.0,7,990,7,1,0
15.0,7,988,7,1,0
16.0,8,987,8,1,0
17.0,11,984,11,1,0
18.0,15,980,15,1,0
19.0,21,974,21,2,0
20.0,29,966,29,3,0
21.0,37,957,37,7,0
22.0,45,949,45,7,0
23.0,60,934,60,10,0
24.0,74,916,74,12,1
25.0,95,893,95,14,1
26.0,116,871,116,16,1
27.0,142,842,142,22,1
28.0,166,814,166,28,1
29.0,197,778,197,37,1
30.0,229,739,229,42,1
31.0,275,688,275,47,1
32.0,301,654,301,50,1
33.0,332,610,332,55,2
34.0,353,573,353,64,3
35.0,357,544,357,64,7
36.0,364,517,364,66,7
37.0,368,487,368,69,10
38.0,374,456,374,74,13
39.0,374,427,374,78,15
40.0,360,405,360,80,17
41.0,322,391,322,75,23
42.0,299,377,299,71,29
43.0,263,366,263,62,38
44.0,241,356,241,60,43
45.0,221,346,221,56,48
46.0,199,340,199,53,51
47.0,175,334,175,49,57
48.0,151,325,151,40,67
49.0,132,317,132,39,71
50.0,114,315,114,37,73
51.0,98,312,98,31,79
52.0,81,309,81,23,87
53.0,66,307,66,17,93
54.0,57,305,57,14,97
55.0,49,303,49,13,98
56.0,43,301,43,11,100
57.0,42,298,42,12,100
58.0,31,298,31,9,103
59.0,27,296,27,9,104
60.0,25,296,25,9,104
61.0,20,296,20,7,106
62.0,19,293,19,6,107
63.0,14,293,14,3,110
64.0,14,292,14,3,110
65.0,13,291,13,3,110
66.0,11,291,11,3,110
67.0,10,290,10,3,110
68.0,9,290,9,2,111
69.0,10,288,10,3,111
70.0,10,288,10,3,111
71.0,9,288,9,2,112
72.0,6,288,6,2,112
73.0,5,288,5,1,113
74.0,4,288,4,1,113
75.0,4,287,4,2,113
76.0,4,287,4,2,113
77.0,4,286,4,2,113
78.0,4,286,4,2,113
79.0,3,286,3,2,113
80.0,3,286,3,2,113
81.0,3,286,3,2,113
82.0,3,286,3,2,113
83.0,2,286,2,1,114
84.0,2,286,2,1,114
85.0,2,286,2,1,114
86.0,2,286,2,1,114
87.0,1,286,1,1,114
88.0,1,286,1,1,114
89.0,1,285,1,0,115
90.0,1,285,1,0,115
91.0,1,285,1,0,115
92.0,1,285,1,0,115
93.0,1,285,1,0,115
94.0,1,285,1,0,115
95.0,1,285,1,0,115
96.0,1,285,1,0,115
97.0,1,285,1,0,115
98.0,1,285,1,0,115
99.0,0,285,0,0,115
100.0,0,285,0,0,115
