time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3,1,999,1,0,0
4,1,999,1,0,0
5,1,999,1,0,0
6,1,999,1,0,0
7.0,3,997,3,0,0
8.0,3,997,3,0,0
9.0,7,993,7,0,0
10.0,7,992,7,0,0
11.0,8,991,8,0,0
12.0,11,988,11,1,0
13.0,12,987,12,1,0
14.0,13,986,13,1,0
15.0,13,986,13,1,0
16.0,16,983,16,2,0
17.0,17,980,17,2,0
18.0,21,976,21,4,0
19.0,21,972,21,4,0
20.0,22,970,22,4,0
21.0,23,968,23,4,0
22.0,25,964,25,4,0
23.0,28,960,28,4,0
24.0,31,956,31,4,0
25.0,33,954,33,5,0
26.0,35,949,35,5,1
27.0,35,946,35,5,1
28.0,37,942,37,5,1
29.0,37,938,37,7,1
30.0,42,930,42,6,2
31.0,47,923,47,7,2
32.0,46,918,46,6,4
33.0,47,913,47,7,4
34.0,53,903,53,9,4
35.0,57,898,57,11,4
36.0,60,891,60,11,4
37.0,66,882,66,15,4
38.0,77,867,77,18,4
39.0,78,863,78,19,5
40.0,79,853,79,21,6
41.0,84,842,84,22,6
42.0,87,835,87,24,6
43.0,92,824,92,25,8
44.0,91,817,91,26,8
45.0,104,800,104,26,9
46.0,110,786,110,26,10
47.0,121,769,121,26,11
48.0,124,752,124,28,13
49.0,136,736,136,26,15
50.0,144,721,144,26,15
51.0,144,707,144,26,19
52.0,143,700,143,23,22
53.0,140,693,140,22,24
54.0,142,682,142,21,27
55.0,137,670,137,24,28
56.0,127,665,127,23,30
57.0,112,661,112,20,33
58.0,104,655,104,19,34
59.0,90,652,90,18,35
60.0,79,647,79,19,36
61.0,72,643,72,19,37
62.0,61,643,61,15,41
63.0,59,639,59,15,41
64.0,52,637,52,15,41
65.0,44,633,44,11,45
66.0,43,630,43,12,45
67.0,40,628,40,12,46
68.0,36,624,36,11,48
69.0,31,622,31,8,52
70.0,29,620,29,8,53
71.0,27,619,27,8,53
72.0,33,613,33,9,53
73.0,29,613,29,9,53
74.0,25,613,25,7,55
75.0,22,611,22,6,56
76.0,20,611,20,6,56
77.0,20,610,20,6,56
78.0,17,610,17,6,56
79.0,17,609,17,6,56
80.0,15,609,15,5,57
81.0,15,607,15,4,58
82.0,10,606,10,3,59
83.0,12,603,12,3,60
84.0,11,603,11,2,61
85.0,10,602,10,2,61
86.0,10,601,10,1,62
87.0,9,601,9,1,62
88.0,10,600,10,1,62
89.0,9,600,9,1,62
90.0,9,600,9,1,62
91.0,7,600,7,1,62
92.0,6,600,6,1,62
93.0,4,600,4,1,62
94.0,5,599,5,1,62
95.0,5,598,5,1,62
96.0,4,598,4,1,62
97.0,4,597,4,0,63
98.0,4,596,4,0,63
99.0,4,596,4,0,63
100.0,4,596,4,0,63
