time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,3,997,3,1,0
2.0,3,997,3,1,0
3.0,3,997,3,1,0
4.0,3,997,3,1,0
5.0,5,995,5,1,0
6.0,7,993,7,1,0
7.0,11,989,11,2,0
8.0,16,984,16,2,0
9.0,38,962,38,5,0
10.0,54,946,54,7,0
11.0,78,920,78,8,0
12.0,115,883,115,14,0
13.0,173,825,173,20,0
14.0,232,765,232,24,1
15.0,295,700,295,31,1
16.0,359,634,359,35,1
17.0,433,557,433,42,1
18.0,507,478,507,51,1
19.0,544,422,544,63,1
20.0,586,366,586,68,1
21.0,610,316,610,76,2
22.0,619,276,619,79,2
23.0,595,245,595,78,5
24.0,565,218,565,79,7
25.0,534,190,534,82,8
26.0,481,175,481,77,14
27.0,420,160,420,72,20
28.0,358,147,358,70,25
29.0,317,137,317,64,32
30.0,266,133,266,62,36
31.0,225,126,225,55,43
32.0,181,124,181,47,52
33.0,148,116,148,36,64
34.0,121,114,121,31,69
35.0,88,114,88,22,78
36.0,74,111,74,19,81
37.0,59,110,59,17,83
38.0,48,108,48,14,86
39.0,36,107,36,11,90
40.0,33,107,33,10,91
41.0,26,106,26,9,92
42.0,23,105,23,6,95
43.0,15,105,15,5,96
44.0,11,105,11,3,98
45.0,11,105,11,3,98
46.0,7,105,7,2,99
47.0,5,105,5,1,100
48.0,3,105,3,1,100
49.0,3,105,3,1,100
50.0,3,105,3,1,100
51.0,2,105,2,1,100
52.0,1,105,1,1,100
53.0,0,105,0,0,101
54.0,1,105,1,1,101
55.0,1,105,1,1,101
56.0,1,105,1,1,101
57.0,1,105,1,1,101
58.0,1,105,1,1,101
59.0,1,105,1,1,101
60.0,1,105,1,1,101
61.0,1,105,1,1,101
62.0,1,105,1,1,101
63.0,1,105,1,1,101
64.0,1,105,1,1,101
65.0,1,105,1,1,101
66.0,1,105,1,1,101
67.0,1,105,1,1,101
68.0,0,105,0,0,102
69.0,0,105,0,0,102
70.0,0,105,0,0,102
71.0,0,105,0,0,102
72.0,0,105,0,0,102
73.0,0,105,0,0,102
74.0,0,105,0,0,102
75.0,0,105,0,0,102
76.0,0,105,0,0,102
77.0,0,105,0,0,102
78.0,0,105,0,0,102
79.0,0,105,0,0,102
80.0,0,105,0,0,102
81.0,0,105,0,0,102
82.0,0,105,0,0,102
83.0,0,105,0,0,102
84.0,0,105,0,0,102
85.0,0,105,0,0,102
86.0,0,105,0,0,102
87.0,0,105,0,0,102
88.0,0,105,0,0,102
89.0,0,105,0,0,102
90.0,0,105,0,0,102
91.0,0,105,0,0,102
92.0,0,105,0,0,102
93.0,0,105,0,0,102
94.0,0,105,0,0,102
95.0,0,105,0,0,102
96.0,0,105,0,0,102
97.0,0,105,0,0,102
98.0,0,105,0,0,102
99.0,0,105,0,0,102
100.0,0,105,0,0,102
