time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3,1,999,1,0,0
4,1,999,1,0,0
5,1,999,1,0,0
6.0,2,998,2,0,0
7.0,2,998,2,0,0
8.0,2,998,2,0,0
9.0,2,998,2,0,0
10.0,1,998,1,0,0
11.0,2,997,2,0,0
12.0,3,996,3,0,0
13.0,4,995,4,0,0
14.0,5,994,5,0,0
15.0,6,993,6,0,0
16.0,6,992,6,0,0
17.0,16,982,16,0,0
18.0,25,973,25,0,0
19.0,41,957,41,4,0
20.0,63,935,63,4,0
21.0,91,906,91,8,0
22.0,132,864,132,12,0
23.0,191,804,191,20,0
24.0,270,724,270,33,0
25.0,328,665,328,39,0
26.0,403,589,403,50,0
27.0,456,526,456,59,0
28.0,516,457,516,70,0
29.0,568,393,568,80,0
30.0,589,350,589,84,0
31.0,620,294,620,90,0
32.0,620,256,620,96,0
33.0,599,221,599,99,4
34.0,559,194,559,103,4
35.0,520,176,520,101,8
36.0,476,151,476,102,12
37.0,423,142,423,95,20
38.0,358,136,358,82,33
39.0,302,132,302,78,39
40.0,257,127,257,68,50
41.0,204,121,204,60,59
42.0,164,118,164,49,70
43.0,128,116,128,40,80
44.0,102,115,102,36,84
45.0,84,111,84,30,90
46.0,58,111,58,24,96
47.0,44,110,44,17,103
48.0,35,109,35,13,107
49.0,33,107,33,11,109
50.0,24,107,24,6,114
51.0,18,107,18,5,115
52.0,15,107,15,5,115
53.0,12,107,12,3,117
54.0,12,105,12,4,118
55.0,7,105,7,3,119
56.0,7,105,7,3,119
57.0,5,105,5,2,120
58.0,4,105,4,2,120
59.0,3,104,3,2,120
60.0,3,104,3,2,120
61.0,4,103,4,2,120
62.0,4,103,4,2,120
63.0,4,103,4,2,120
64.0,4,103,4,2,120
65.0,4,103,4,2,120
66.0,4,103,4,2,120
67.0,4,103,4,2,120
68.0,2,103,2,0,122
69.0,1,103,1,0,122
70.0,1,103,1,0,122
71.0,0,103,0,0,122
72.0,0,103,0,0,122
73.0,0,103,0,0,122
74.0,0,103,0,0,122
75.0,0,103,0,0,122
76.0,0,103,0,0,122
77.0,0,103,0,0,122
78.0,0,103,0,0,122
79.0,0,103,0,0,122
80.0,0,103,0,0,122
81.0,0,103,0,0,122
82.0,0,103,0,0,122
83.0,0,103,0,0,122
84.0,0,103,0,0,122
85.0,0,103,0,0,122
86.0,0,103,0,0,122
87.0,0,103,0,0,122
88.0,0,103,0,0,122
89.0,0,103,0,0,122
90.0,0,103,0,0,122
91.0,0,103,0,0,122
92.0,0,103,0,0,122
93.0,0,103,0,0,122
94.0,0,103,0,0,122
95.0,0,103,0,0,122
96.0,0,103,0,0,122
97.0,0,103,0,0,122
98.0,0,103,0,0,122
99.0,0,103,0,0,122
100.0,0,103,0,0,122
